relative_keyword,total_search,total_store,competitive_rate
오토바이블랙박스,6870.0,77971.0,11.349490538573509
홍진헬멧,12490.0,49937.0,3.9981585268214572
세나50S,6700.0,4242.0,0.6331343283582089
아디다스풋살화,18090.0,83229.0,4.600829187396352
미즈노풋살화,29270.0,34963.0,1.194499487529894
나이키풋살화,28450.0,63365.0,2.2272407732864674
나이키더플백,16800.0,30738.0,1.8296428571428571
미즈노축구화,19430.0,61327.0,3.156304683479156
키즈풋살화,7820.0,55163.0,7.054092071611254
주니어풋살화,3460.0,44106.0,12.747398843930636
주니어축구화,3360.0,55850.0,16.62202380952381
팀조끼,2700.0,39364.0,14.57925925925926
야구바지,1900.0,64340.0,33.863157894736844
야구화,5610.0,124793.0,22.24474153297683
기아타이거즈유니폼,2930.0,267.0,0.09112627986348124
배팅장갑,2900.0,110835.0,38.21896551724138
인조잔디야구화,1350.0,5084.0,3.765925925925926
유소년야구화,1240.0,5281.0,4.258870967741935
나이키야구화,2480.0,15645.0,6.308467741935484
인조잔디화,1060.0,11330.0,10.68867924528302
투수글러브,3280.0,54592.0,16.64390243902439
야구헬멧,2100.0,128359.0,61.123333333333335
기아유니폼,1750.0,427.0,0.244
야구양말,1530.0,35513.0,23.211111111111112
포수미트,3570.0,25354.0,7.101960784313725
야구배팅장갑,1670.0,109304.0,65.45149700598802
야구공케이스,2310.0,9486.0,4.106493506493506
축구공가방,3720.0,63067.0,16.953494623655914
농구골대,5140.0,117930.0,22.943579766536963
루카1,2570.0,13849.0,5.388715953307393
나이키업템포,5090.0,21218.0,4.168565815324165
언더아머농구화,3040.0,12949.0,4.25953947368421
농구공가방,1840.0,100277.0,54.49836956521739
조던1로우,3710.0,98153.0,26.45633423180593
르브론20,6450.0,4869.0,0.7548837209302326
몰텐농구공,3160.0,23280.0,7.367088607594937
줌프릭4,1590.0,2062.0,1.2968553459119496
에어조던1로우,9040.0,48018.0,5.311725663716814
아디다스농구화,2920.0,34440.0,11.794520547945206
농구유니폼,3380.0,80337.0,23.768343195266272
업템포,4090.0,22494.0,5.499755501222494
피구공,6890.0,37644.0,5.463570391872278
미즈노배구화,4900.0,28835.0,5.884693877551021
아식스배구화,9950.0,23224.0,2.334070351758794
배구화,8230.0,118233.0,14.366099635479952
나이키배구화,2240.0,2029.0,0.9058035714285714
아식스스카이엘리트,1010.0,3327.0,3.294059405940594
배구유니폼,1330.0,16722.0,12.572932330827067
미카사배구공,2700.0,5615.0,2.0796296296296295
빅발리볼,2590.0,3292.0,1.271042471042471
배구화추천,1010.0,118229.0,117.05841584158416
탁구화,10630.0,89997.0,8.466321730950142
미즈노탁구화,6400.0,14978.0,2.3403125
탁구러버,4840.0,105426.0,21.78223140495868
탁구가방,2160.0,71201.0,32.963425925925925
탁구라켓케이스,1520.0,34286.0,22.556578947368422
탁구대,8070.0,82268.0,10.194299876084262
엑시옴탁구복,1830.0,2707.0,1.4792349726775957
탁구유니폼,1400.0,45999.0,32.85642857142857
탁구복상의,1910.0,27035.0,14.154450261780104
버터플라이탁구복,1600.0,7298.0,4.56125
아식스탁구화,1780.0,3386.0,1.902247191011236
테너지05,3180.0,6408.0,2.0150943396226415
버터플라이탁구화,1570.0,63153.0,40.22484076433121
탁구연습기,1380.0,48796.0,35.35942028985507
미즈노배드민턴화,12830.0,34890.0,2.7194076383476227
요넥스배드민턴화,15060.0,41262.0,2.7398406374501993
요넥스티셔츠,6230.0,61583.0,9.884911717495987
배드민턴그립테이프,1070.0,63897.0,59.71682242990654
요넥스반바지,2010.0,19903.0,9.901990049751245
KBB79,6240.0,419.0,0.0671474358974359
요넥스배드민턴라켓,10510.0,82180.0,7.819219790675547
요넥스바람막이,6490.0,6376.0,0.9824345146379044
배드민턴반바지,1390.0,94316.0,67.85323741007194
테크니스트티셔츠,2160.0,9087.0,4.206944444444445
나이키테니스화,12190.0,63632.0,5.2200164068908945
아식스테니스화,10610.0,53573.0,5.0492931196983974
윌슨테니스라켓,9310.0,101672.0,10.920730397422126
윌슨테니스가방,5500.0,44586.0,8.106545454545454
아디다스테니스화,6240.0,68912.0,11.043589743589743
테니스화여성,2000.0,103714.0,51.857
테니스백팩,2980.0,111359.0,37.368791946308725
바볼랏테니스라켓,3140.0,52951.0,16.863375796178342
요넥스테니스화,3130.0,33185.0,10.60223642172524
여성테니스화,1240.0,103714.0,83.64032258064516
비트로테니스화,1530.0,2242.0,1.465359477124183
스쿼시라켓,5660.0,70443.0,12.445759717314488
스타족구화,2120.0,3939.0,1.8580188679245282
족구공,2680.0,39021.0,14.560074626865672
족구화,7110.0,19260.0,2.7088607594936707
조이킥족구화,2200.0,642.0,0.2918181818181818
족구네트,1400.0,45447.0,32.46214285714286
조이킥,4230.0,1271.0,0.3004728132387707
볼링공,17780.0,88758.0,4.992013498312711
볼링화,8510.0,61933.0,7.277673325499412
볼링아대,4770.0,55455.0,11.625786163522013
볼링티셔츠,2240.0,26591.0,11.870982142857143
볼링가방,2910.0,71642.0,24.619243986254297
볼링용품,4950.0,120467.0,24.33676767676768
스톰볼링공,4200.0,7595.0,1.8083333333333333
중고볼링공,2130.0,1176.0,0.5521126760563381
볼링티,1750.0,26591.0,15.194857142857144
덱스터볼링화,2600.0,10925.0,4.201923076923077
남자볼링화,1260.0,26782.0,21.255555555555556
볼링백,3640.0,71642.0,19.681868131868132
하드볼,1910.0,11446.0,5.992670157068063
햄머볼링공,1860.0,8696.0,4.675268817204301
우레탄볼링공,1220.0,3917.0,3.210655737704918
웻슈트,3120.0,118461.0,37.96826923076923
수중랜턴,1200.0,92375.0,76.97916666666667
수중스쿠터,1530.0,26378.0,17.240522875816993
작살,2570.0,28678.0,11.158754863813229
드라이슈트,1610.0,62673.0,38.92732919254659
작살총,1110.0,8223.0,7.408108108108108
다이빙컴퓨터,2040.0,22691.0,11.123039215686275
핀삭스,1180.0,10249.0,8.685593220338983
검도복,1500.0,8381.0,5.5873333333333335
검도용품,2140.0,63907.0,29.863084112149533
검도호구,1910.0,9808.0,5.135078534031414
죽도,13900.0,30679.0,2.2071223021582735
신켄무도구,3960.0,181.0,0.04570707070707071
발레바,4650.0,46439.0,9.986881720430107
성인발레복,7580.0,90407.0,11.927044854881267
에어로빅복,5880.0,68361.0,11.626020408163265
드레스몰,7290.0,6515.0,0.8936899862825789
폴댄스의상,3600.0,74356.0,20.654444444444444
라인댄스바지,3530.0,79339.0,22.475637393767705
가정용샌드백,2500.0,85200.0,34.08
위닝글러브,7120.0,12931.0,1.8161516853932584
트윈스글러브,3120.0,7570.0,2.426282051282051
복싱핸드랩,3400.0,40368.0,11.872941176470588
핸드랩,2090.0,45513.0,21.776555023923446
라이벌글러브,2100.0,2771.0,1.3195238095238095
레예스글러브,2240.0,5801.0,2.5897321428571427
아디다스복싱글러브,1400.0,6542.0,4.672857142857143
