relative_keyword,total_search,total_store
자전거고글,6220.0,254640.0
아크릴판,22130.0,220453.0
마카펜,8170.0,141689.0
아크릴물감,15800.0,264128.0
이젤,26000.0,484422.0
오일파스텔,18690.0,70692.0
목각인형,2940.0,94477.0
컬러링북,14040.0,168441.0
문진,15760.0,76184.0
아크릴재단,17170.0,23732.0
스티로폼,21930.0,275597.0
화구통,3300.0,75958.0
파버카스텔색연필,5110.0,95557.0
포맥스,20440.0,223607.0
프리즈마색연필,6210.0,31945.0
프리즈마색연필72,2620.0,3707.0
수채화물감,4180.0,299657.0
인테리어액자,8740.0,12834377.0
차량용목쿠션,14520.0,888227.0
차키케이스,24840.0,456344.0
차량용거치대,13350.0,2064895.0
차량용충전기,14230.0,1115482.0
차량용무선충전거치대,3990.0,244685.0
차량용공기청정기,8540.0,290391.0
핸들커버,29000.0,2858462.0
키케이스,11130.0,2651143.0
트렁크정리함,19770.0,1071887.0
자동차에어컨필터,10620.0,1252115.0
차량용에어컨필터,3730.0,236195.0
맥세이프차량용거치대,21040.0,63041.0
차량핸드폰거치대,28280.0,1819887.0
차박매트,8570.0,607020.0
테이프공,4810.0,75248.0
티니핑피규어,7840.0,28349.0
비즈,23460.0,4799752.0
슬램덩크피규어,3020.0,65005.0
새총,9700.0,56365.0
탑로더,12410.0,39847.0
뉴타입,28420.0,267866.0
슬리브,24830.0,19164100.0
슬램덩크만화책,5600.0,1009.0
테이프볼,1040.0,75248.0
젤다아미보,7230.0,12861.0
타로카드,23150.0,242043.0
어항,23800.0,2121644.0
수초,13480.0,374325.0
거북이어항,5180.0,188028.0
생이새우,12970.0,3466.0
어항조명,4950.0,182522.0
어항여과기,5480.0,222876.0
체리새우,13820.0,5621.0
여과기,8520.0,850312.0
외부여과기,5050.0,67265.0
어항받침대,1800.0,83696.0
브라인쉬림프,5840.0,11438.0
유목,9130.0,53895.0
구피사료,2210.0,48610.0
걸이식여과기,3600.0,50144.0
거북이사료,1690.0,31292.0
미니어항,3280.0,206648.0
물멍,3680.0,88939.0
진공쌀통,13730.0,133013.0
고무장갑,28510.0,860265.0
싱크대거름망,10300.0,191018.0
