relative_keyword,total_store
세탁바구니,713449.0
세탁망,372442.0
다리미판,175975.0
라탄빨래바구니,54001.0
접이식빨래바구니,197637.0
3단빨래바구니,38374.0
건조대,2219989.0
미니건조대,184082.0
전동빨래건조대,27596.0
접이식건조대,623728.0
빨래통,182175.0
양모볼,23700.0
건조기양모볼,9720.0
빨래집게,569664.0
혈압측정기,106530.0
가정용혈압계,18222.0
비접촉체온계,15239.0
휴비딕체온계,2247.0
오므론혈압계,4358.0
인바디체중계,25251.0
혈압기,103054.0
가정용혈압기,18222.0
만보기,92825.0
체지방체중계,79389.0
KF94마스크,404753.0
덴탈마스크,87978.0
전담액상,13174.0
KF94마스크새부리형,137280.0
일회용마스크,253006.0
국산덴탈마스크,27040.0
입호흡액상,78838.0
차이코스,908.0
액상전자담배,123459.0
액상,923199.0
자가진단키트,18087.0
일회용전자담배,5695.0
아에르마스크,16635.0
혈당체크기,9694.0
녹십자혈당측정기,2712.0
혈당시험지,53305.0
아큐첵퍼포마시험지,1826.0
연속혈당측정기,3282.0
아큐첵인스턴트,4273.0
당뇨측정기,45877.0
아큐첵인스턴트시험지,3189.0
무채혈혈당측정기,9064.0
혈당계,44681.0
프리스타일리브레,2174.0
케어센스N시험지,2407.0
아큐첵혈당측정기,4022.0
혈당측정기추천,70579.0
아큐첵퍼포마,2328.0
당뇨체크기,9237.0
아큐첵,15353.0
구급상자,187366.0
여드름패치,15205.0
흉터연고,5995.0
파스,253471.0
알콜스왑,23743.0
산소호흡기,11090.0
휴대용네블라이저,5091.0
메피폼,267.0
센텔라스카연고,1288.0
휴대용약통,107019.0
듀오덤엑스트라씬,2258.0
더마틱스울트라,769.0
약통,244200.0
알약케이스,160711.0
흉터제거연고,2046.0
아기네블라이저,722.0
노인지팡이,126373.0
보행보조기,95954.0
납골당액자,15325.0
돋보기안경,58564.0
지팡이,635410.0
휠체어,443703.0
노인보행기,102084.0
깁스방수커버,18740.0
납골당꾸미기,38690.0
돋보기,561330.0
어르신보행기,65003.0
실버카,143086.0
노인보행보조기,64735.0
전동휠체어,75895.0
이동식화장실,186560.0
이동식변기,89556.0
목욕의자,244004.0
목발,87888.0
어르신지팡이,65410.0
목견인기,30629.0
굽은어깨교정기,14992.0
자세교정밴드,85142.0
목보호대,193923.0
의료용압박스타킹,50953.0
라운드숄더교정,14872.0
거북목교정기,24323.0
어깨교정밴드,43468.0
허리스트레칭기구,45456.0
압박밴드,293209.0
자세교정기,148199.0
자세교정,406131.0
굽은등교정기,19007.0
일자목교정기,9509.0
목견인치료기,4357.0
바른자세교정,74393.0
허리스트레칭,92406.0
저주파치료기,16553.0
부항기,44198.0
적외선조사기,27233.0
적외선치료기,11763.0
저주파마사지기,116704.0
초음파치료기,4056.0
클럭패드,51194.0
클럭,149496.0
조사기,35843.0
EMS마사지기,87872.0
저주파자극기,47699.0
클럭마사지기,1174.0
원적외선온열치료기,3757.0
실리콘부항,7171.0
한솔부항기,6526.0
근적외선좌욕기,8698.0
가정용좌욕기,38845.0
치질좌욕기,15197.0
좌훈기,31543.0
원적외선좌욕기,3253.0
임산부좌욕기,21713.0
좌욕대야,17398.0
큐손길N,1.0
좌욕,83918.0
온열찜질기,372789.0
찜질기,430976.0
전기찜질기,157676.0
전기찜질팩,79438.0
무릎찜질기,52576.0
허리찜질기,100025.0
어깨찜질기,81517.0
보온물주머니,162181.0
온수찜질기,37382.0
온열돔,11699.0
어깨찜질팩,101807.0
눈찜질팩,38189.0
황토찜질팩,67193.0
황토찜질기,39646.0
배찜질기,58199.0
허리찜질팩,103688.0
무릎찜질팩,45343.0
전기온열찜질기,141561.0
미백치약,45817.0
혀클리너,76044.0
이갈이마우스피스,9449.0
잇몸치약,88029.0
미세모칫솔,179635.0
틀니세정제,8282.0
테라브레스,7997.0
마우스피스,297817.0
고체치약,7203.0
입냄새치약,34589.0
천연치약,10521.0
치과칫솔,69732.0
대나무칫솔,40597.0
켄트칫솔,19487.0
수면안대,162242.0
온열안대,47927.0
안대,259813.0
초음파세척기,222787.0
렌즈세척액,8896.0
온열수면안대,25741.0
렌즈세척기,142062.0
생리식염수,1725.0
눈온열안대,41798.0
식염수,9495.0
안경세척기,90689.0
아이마스크,228735.0
보스톤심플러스,927.0
에이오셉,358.0
리뉴,107864.0
발마사지기,326110.0
발각질제거기,294934.0
무지외반증교정기,12519.0
각질제거기,733911.0
발각질제거,235697.0
전동발각질제거기,37617.0
발가락교정기,152881.0
발뒤꿈치각질제거,78099.0
다리안마기,315653.0
굳은살제거기,142829.0
공기압마사지기,75301.0
지압슬리퍼,129442.0
공기압다리마사지기,53480.0
건식족욕기,46520.0
발안마기,326110.0
손마사지기,36044.0
눈마사지기,86278.0
마사지기,1703119.0
목마사지기,374125.0
어깨마사지기,274479.0
괄사마사지기,71580.0
어깨안마기,274479.0
안마매트,114673.0
소형안마의자,15425.0
괄사마사지,162571.0
승모근마사지기,62340.0
목어깨마사지기,198921.0
목안마기,374125.0
바디괄사,43021.0
손안마기,184949.0
조립식앵글,307014.0
수납정리함,6360657.0
옷정리함,654407.0
폴딩박스,1038464.0
바지걸이,367892.0
슈케이스,42841.0
베란다선반,485320.0
이동식선반,1498282.0
논슬립옷걸이,265301.0
압축팩,332549.0
조립식선반,716313.0
이동식트롤리,749304.0
라탄바구니,524079.0
신발정리대,765876.0
앵글,2987410.0
휴지통,2951721.0
돌돌이,427007.0
밀대걸레,770461.0
밀대,1697369.0
테이프클리너,401181.0
자동센서휴지통,139286.0
빗자루,648281.0
재활용분리수거함,186731.0
자동쓰레기통,209571.0
물걸레밀대,253079.0
청소솔,1489440.0
돌돌이테이프,132356.0
물걸레청소포,185910.0
분리수거통,621741.0
매직블럭,138977.0
섬유탈취제,97569.0
피톤치드,137232.0
차량방향제,775301.0
제습제,376545.0
각티슈,429085.0
곰팡이제거제,125925.0
바퀴벌레약,33944.0
탈취제,1138573.0
옷장방향제,43972.0
두루마리휴지,210989.0
피톤치드스프레이,19994.0
공기정화식물,318537.0
거실화분,502508.0
실내공기정화식물,76796.0
인형꽃다발,54706.0
비누꽃,196889.0
졸업식꽃다발,49400.0
승진화분,83465.0
씨감자,501.0
축하화분,197797.0
개업축하화분,153795.0
킨더조이꽃다발,4865.0
비누꽃다발,75442.0
올리브나무,52213.0
다육이,1422165.0
화분받침대,707423.0
식물재배기,134743.0
식물영양제,164041.0
플라스틱화분,545344.0
토분,332267.0
화분선반,646795.0
미니비닐하우스,141090.0
자갈,391534.0
대형화분,535053.0
다육이화분,817433.0
식물지지대,223369.0
제초매트,38289.0
텃밭,1209736.0
화분정리대,303085.0
수경재배기,110021.0
모두싹,4053.0
수국,185801.0
레트로게임기,337579.0
닌텐도스위치케이스,145691.0
게임패드,704350.0
닌텐도스위치라이트,58435.0
닌텐도스위치스포츠,9722.0
닌텐도스위치조이콘,81768.0
컨트롤러,3882493.0
링피트,58949.0
게이밍컴퓨터,1753438.0
데스크탑,4361991.0
중고컴퓨터,221738.0
조립컴퓨터,342544.0
사무용컴퓨터,739130.0
컴퓨터본체,236308.0
일체형PC,192537.0
삼성컴퓨터,925968.0
사무용PC,739129.0
조립식컴퓨터,342544.0
올인원PC,116444.0
미니PC,2003856.0
사무용데스크탑,107380.0
장패드,438893.0
게이밍마우스패드,384787.0
모니터보안필름,67771.0
USB허브,1133167.0
C타입허브,381481.0
멀티허브,429234.0
키보드받침대,353570.0
마우스장패드,395555.0
허브,12509025.0
케이블타이,936556.0
키보드손목받침대,123396.0
키캡,610152.0
USB3.0허브,447421.0
C타입멀티허브,162780.0
컴퓨터패드,3021004.0
게이밍장패드,204967.0
마우스손목받침대,126395.0
노트북받침대,921689.0
노트북쿨러,960410.0
노트북파우치,612072.0
맥북파우치,145961.0
맥북거치대,137059.0
휴대용노트북거치대,215681.0
노트북스탠드,966701.0
15인치노트북파우치,89225.0
노트북케이스,1474917.0
노트북쿨링패드,97804.0
아이패드종이필름,75921.0
갤럭시탭S8케이스,122972.0
짭플펜슬,6628.0
아이패드거치대,273574.0
아이패드에어4케이스,102084.0
애플펜슬펜촉,21001.0
갤럭시탭S8플러스케이스,39913.0
아이패드9세대케이스,65344.0
아이패드미니6케이스,67690.0
아이패드에어5케이스,96087.0
아이패드필름,397806.0
갤럭시탭S6라이트케이스,42067.0
아이패드종이질감필름,69937.0
아이패드파우치,287429.0
아이패드프로케이스,376343.0
듀얼모니터암,108765.0
듀얼모니터받침대,68299.0
싱글모니터암,47169.0
모니터선반,244505.0
원목모니터받침대,64072.0
모니터거치대,450341.0
모니터암거치대,179715.0
모니터스탠드,718705.0
높이조절모니터받침대,54249.0
모니터암듀얼,108765.0
카멜모니터암,11518.0
복합기,8587267.0
레이저복합기,399903.0
레이저프린터,535628.0
잉크젯복합기,295247.0
SL-M2030,8916.0
삼성프린터,1685591.0
게이밍마우스,814066.0
MLT-K200L,8566.0
CLT-K510S,6916.0
타블렛,326986.0
SL-M2077F,5399.0
SL-C563W,12928.0
SL-M2893FW,3494.0
게이밍헤드셋,373435.0
PC스피커,764163.0
웹캠,384881.0
