relative_keyword,total_search
골프백,34980.0
골프티꽂이,6490.0
자외선차단패치,2500.0
남성골프화,19470.0
여성골프화,15180.0
아디다스골프화,27980.0
캐디백,18980.0
골프볼마커,3870.0
런닝머신,37750.0
아령,20980.0
실내자전거,78500.0
폼롤러,66240.0
철봉,15280.0
문틀철봉,11080.0
치닝디핑,12880.0
풀업밴드,10290.0
스텝퍼,54710.0
줄넘기,25750.0
튜빙밴드,5410.0
마사지볼,14220.0
로잉머신,24120.0
악력기,15930.0
무게조절덤벨,10700.0
덤벨,27390.0
루프밴드,4670.0
푸쉬업바,10560.0
헬스장갑,17750.0
AB슬라이드,18630.0
요가양말,11390.0
필라테스양말,31050.0
요가링,9410.0
요가바지,8050.0
요가매트,50300.0
요가복,55350.0
필라테스복,22600.0
스파인코렉터,11620.0
안다르,685300.0
필라테스요가양말니삭스롱삭스논슬립,
젝시믹스,604900.0
뮬라웨어,141700.0
필라테스기구,11900.0
운동매트,6030.0
요가타올,1040.0
토삭스,12900.0
요가삭스,2120.0
필라테스상의,8070.0
헬스매트,2190.0
요가매트요가매트요가매트요가매트,
인라인스케이트,16760.0
롤러블레이드,1640.0
인라인,4800.0
K2인라인스케이트,1500.0
인라인가방,1010.0
성인인라인스케이트,420.0
성인용인라인스케이트,270.0
K2인라인,1380.0
인라인스케이트성인용,410.0
인라인바퀴,690.0
롤러브레이드,2650.0
아동인라인스케이트,720.0
어린이인라인스케이트,560.0
인라인스케이트가방,240.0
휠러스인라인,510.0
어린이인라인,440.0
어린이롤러스케이트,640.0
아동롤러스케이트,220.0
롤러블레이드인라인,430.0
유아롤러스케이트,550.0
스케이트보드,16690.0
롱보드,7540.0
롤러스케이트,16140.0
킥보드,27860.0
전동킥보드,43210.0
힐리스,5620.0
롤러슈즈,2580.0
두발킥보드,3740.0
핑거보드,3390.0
스타쉽크루저롱보드,
휠리스,4060.0
힐리스운동화,2470.0
전동보드,2770.0
전동스케이트보드,1790.0
나인봇,4160.0
퀵보드,5910.0
성인킥보드,1630.0
바퀴달린신발,1890.0
어린이스케이트보드,400.0
보드,15720.0
전기스쿠터,24000.0
헬멧블루투스,3880.0
오토바이헬멧,20890.0
전동스쿠터,15900.0
전기오토바이,22710.0
혼다오토바이,50430.0
오토바이장갑,14990.0
오토바이헬멧블루투스,800.0
헬멧,18300.0
스쿠터,28670.0
오토바이블랙박스,6870.0
오토바이블루투스,2590.0
홍진헬멧,12490.0
포팩트F2S,230.0
오토바이,64160.0
겨울오토바이장갑,3140.0
바이크헬멧,4000.0
탑박스,5610.0
포팩트Z1,330.0
세나50S,6700.0
풋살화,71810.0
축구화,81820.0
나이키축구화,32940.0
축구공,50830.0
골키퍼장갑,23950.0
아디다스축구화,23800.0
아디다스풋살화,18090.0
더플백,20790.0
미즈노풋살화,29270.0
나이키풋살화,28450.0
나이키더플백,16800.0
헬스가방,16210.0
축구유니폼,23820.0
