relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
전동거품기,7,5,16,6,10,7,16,7,27119,677
베란다페인트,3,3,31,3,6,1,15,18,49964,1249
베이트릴파워핸들,2,5,18,13,11,5,23,1,9600,240
오석,17,1,0,22,37,0,3,0,524,13
행복담기,6,0,11,23,23,2,11,4,13840,346
다이슨V6배터리,4,2,7,26,20,4,13,3,13008,325
미용실다운펌약,15,12,8,5,26,3,6,5,45841,1146
시마노클릿,1,0,12,6,13,6,20,1,10537,263
영정사진,14,5,3,1,19,3,11,7,26911,672
벽지페인트,4,4,30,2,2,1,22,15,85817,2145
구운캐슈넛,3,4,16,14,8,0,16,16,81697,2042
페이즈외식상품권,0,0,17,21,22,3,11,4,18740,468
링티제로,2,2,15,19,24,6,9,1,10620,265
샤프란아우라,0,3,10,11,7,2,13,18,139499,3487
겨울임부복,0,4,14,15,21,5,12,2,8206,205
크로스핏줄넘기,2,4,2,0,18,4,15,3,24442,611
육쪽마늘,14,6,16,4,17,4,13,6,29383,734
콜드크림,8,6,1,24,37,0,1,2,5262,131
콜레올로지티,3,4,22,10,30,1,6,3,9800,245
메리야스,2,3,23,0,4,1,14,21,142231,3555
셀프중문,9,1,0,2,39,1,0,0,164,4
해피테일즈,0,6,9,11,26,1,7,6,50514,1262
스타풋살공,0,3,1,2,32,0,6,2,4974,124
디자인마카,0,2,7,0,26,2,10,2,6930,173
기름걸레,2,7,5,4,21,2,9,8,62652,1566
커클랜드키친타올,5,7,9,17,20,5,12,3,7977,199
오징어젓,2,1,30,5,5,1,19,15,90705,2267
원적외선치료기,4,2,0,1,36,2,2,0,793,19
송장프린터,3,6,18,13,28,5,5,2,4436,110
애터미화장지,9,8,9,13,25,4,8,3,10329,258
타이어공기압주입기,3,9,13,9,13,6,11,10,29502,737
아기치즈,1,4,5,18,13,1,16,10,69600,1740
전자레인지장,0,2,20,1,14,9,13,4,13459,336
책상가림막,0,6,11,0,24,4,6,6,27725,693
갈치젓갈,9,9,20,2,7,7,7,19,153149,3828
아기무릎보호대,4,7,9,1,14,2,20,4,63961,1599
호박차,11,4,14,3,5,7,22,6,38916,972
간장새우,9,5,16,10,3,2,17,18,129472,3236
MSM식이유황,6,5,24,2,4,5,20,11,43317,1082
부탄가스난로,8,9,16,5,21,5,12,2,7922,198
안경닦이,5,5,19,0,0,7,13,20,129983,3249
리베로터치,5,2,15,6,19,2,16,3,15780,394
3인용전기방석,2,2,23,0,6,6,17,11,31748,793
파메스테틱,27,9,4,0,38,0,2,0,791,19
팰리세이드트렁크매트,2,4,14,0,3,1,13,23,107259,2681
서울우유더진한플레인요거트,4,5,18,12,27,4,5,4,23791,594
밴딩베개커버,3,1,9,1,10,3,20,7,52184,1304
롯데시네마관람권,4,4,10,17,11,2,16,11,42155,1053
롯데시네마영화관람권,4,4,10,17,12,2,15,11,42029,1050
트림원라이트,2,0,2,0,36,1,3,0,637,15
농구공7호,2,1,9,2,18,5,15,2,9486,237
