relative_keyword,total_search,total_store_count,competitive_rate
아디다스복싱화,3110.0,4529.0,1.46
미즈노복싱화,2820.0,1034.0,0.37
태권도화,3980.0,5138.0,1.29
태권도도복,2910.0,20580.0,7.07
태권도복,2520.0,29620.0,11.75
유도복,3350.0,21233.0,6.34
나이키복싱화,3290.0,2163.0,0.66
레슬링화,2170.0,22348.0,10.3
아식스복싱화,1930.0,4053.0,2.1
아식스역도화,1320.0,680.0,0.52
프로스펙스복싱화,1040.0,745.0,0.72
아디다스유도복,2180.0,396.0,0.18
에버라스트복싱화,1010.0,758.0,0.75
나이키사발레오,1110.0,506.0,0.46
소요롤도복,2030.0,1136.0,0.56
줄넘기화,1030.0,10924.0,10.61
바이탈도복,4680.0,880.0,0.19
나이키헤어밴드,8730.0,18882.0,2.16
오일파스텔,17910.0,71868.0,4.01
아크릴재단,17200.0,23762.0,1.38
문진,16440.0,78006.0,4.74
파버카스텔색연필,4670.0,98489.0,21.09
화구통,3600.0,75172.0,20.88
옷염색약,3710.0,8804.0,2.37
하드보드지,11690.0,19989.0,1.71
맥세이프차량용거치대,23190.0,65673.0,2.83
2355519,19640.0,3464.0,0.18
토이나이프,24450.0,21440.0,0.88
젤다아미보,11260.0,13259.0,1.18
푸쉬팝게임기,10300.0,12902.0,1.25
꼬치의달인,24220.0,787.0,0.03
MGSD발바토스,10770.0,480.0,0.04
생이새우,14340.0,3469.0,0.24
체리새우,15510.0,5681.0,0.37
외부여과기,5100.0,67845.0,13.3
브라인쉬림프,5940.0,11477.0,1.93
유목,8000.0,55824.0,6.98
무환수어항,5390.0,17736.0,3.29
걸이식여과기,3670.0,50668.0,13.81
2자어항,3680.0,88664.0,24.09
화산석,10790.0,73901.0,6.85
뉴진스앨범,17520.0,2564.0,0.15
플레이브앨범,6630.0,120.0,0.02
세븐틴앨범,23690.0,7132.0,0.3
투바투앨범,15640.0,3446.0,0.22
제로베이스원앨범,7550.0,1203.0,0.16
아이브마인앨범,4440.0,1489.0,0.34
르세라핌앨범,8060.0,2466.0,0.31
제베원앨범,7790.0,758.0,0.1
정국골든앨범,7510.0,375.0,0.05
라이즈앨범,9890.0,791.0,0.08
QWER앨범,4430.0,61.0,0.01
잔나비LP,3570.0,177.0,0.05
이승윤LP,3430.0,34.0,0.01
아이브미니앨범,2310.0,718.0,0.31
슬램덩크만화책,5360.0,1272.0,0.24
윔피키드원서,2210.0,530.0,0.24
독학사,15950.0,1939.0,0.12
그리스로마신화,29860.0,6505.0,0.22
EBS봉투모의고사,11310.0,178.0,0.02
드래곤볼만화책,1980.0,76.0,0.04
EBS모의고사,7960.0,464.0,0.06
EBS파이널모의고사,3450.0,217.0,0.06
받침없는동화,3300.0,93.0,0.03
지역농협NCS,2280.0,92.0,0.04
봉투모의고사,4560.0,1977.0,0.43
주술회전만화책,9260.0,301.0,0.03
NATETHEGREAT,2360.0,170.0,0.07
설민석의한국사대모험,9240.0,33.0,0.0
오싹오싹팬티,1740.0,32.0,0.02
성경책,25880.0,17716.0,0.68
싱잉볼,12160.0,85789.0,7.06
미사보,3740.0,12347.0,3.3
성경책리폼,5120.0,3203.0,0.63
금강저,3980.0,26693.0,6.71
목탁,7860.0,23540.0,2.99
성경필사노트,3360.0,5454.0,1.62
성경책커버,1930.0,5016.0,2.6
108염주,1670.0,68828.0,41.21
큰글자성경,2280.0,937.0,0.41
성모상,1710.0,14305.0,8.37
개역개정성경,3450.0,1284.0,0.37
성경리폼,1730.0,6023.0,3.48
3단빨래바구니,3170.0,39907.0,12.59
스탠드다리미판,2870.0,41322.0,14.4
라탄빨래바구니,2170.0,56797.0,26.17
전동빨래건조대,4360.0,27751.0,6.36
한샘빨래건조대,4880.0,1225.0,0.25
양모볼,10360.0,23287.0,2.25
가정용혈압계,10620.0,18094.0,1.7
오므론혈압계,24940.0,4226.0,0.17
만보기,15460.0,93361.0,6.04
브라운체온계6525,6880.0,609.0,0.09
브라운체온계6030,8360.0,2034.0,0.24
청진기,9020.0,71621.0,7.94
혈압기,8500.0,103127.0,12.13
카카오체중계,2620.0,909.0,0.35
비접촉체온계,3850.0,15389.0,4.0
샤오미체중계,5720.0,4892.0,0.86
카스체중계,3580.0,13283.0,3.71
브라운체온계6520,3030.0,1811.0,0.6
IRT6030,3000.0,2061.0,0.69
전담액상,21830.0,13663.0,0.63
덴탈마스크,23880.0,89521.0,3.75
입호흡액상,12160.0,70880.0,5.83
웰컴드링크,6290.0,2133.0,0.34
차이코스,23440.0,1195.0,0.05
발라리안코일,23430.0,752.0,0.03
일회용전자담배,28210.0,7445.0,0.26
연속혈당측정기,19040.0,3324.0,0.17
무채혈혈당측정기,6260.0,10606.0,1.69
아큐첵인스턴트,6020.0,4390.0,0.73
아큐첵퍼포마시험지,2760.0,1937.0,0.7
글루코핏,5090.0,133.0,0.03
당뇨측정기,6550.0,49650.0,7.58
아큐첵인스턴트시험지,2950.0,3341.0,1.13
프리스타일리브레,9830.0,2244.0,0.23
혈당측정기무채혈,2750.0,10606.0,3.86
아큐첵혈당측정기,6240.0,4172.0,0.67
아큐첵퍼포마,2230.0,2444.0,1.1
리브레혈당,9690.0,1338.0,0.14
혈당시험지,1910.0,55329.0,28.97
케어센스N시험지,3470.0,2418.0,0.7
혈당체크기,5460.0,11245.0,2.06
아큐첵,6200.0,16099.0,2.6
아큐첵액티브,1530.0,4143.0,2.71
인슐린주사기,4360.0,9817.0,2.25
바로잰혈당시험지,1510.0,4207.0,2.79
듀오덤엑스트라씬,10460.0,2378.0,0.23
여드름패치,25940.0,15400.0,0.59
알콜스왑,14580.0,24841.0,1.7
더마틱스울트라,13720.0,864.0,0.06
흉터연고,18860.0,6184.0,0.33
실리콘약병,7390.0,2268.0,0.31
더마틱스울트라겔,11940.0,466.0,0.04
소독용에탄올,8940.0,17849.0,2.0
이어포셉,6820.0,3193.0,0.47
오므론네블라이저,10870.0,686.0,0.06
전동휠체어,14390.0,79659.0,5.54
돋보기안경,15690.0,63920.0,4.07
노인보행기,9240.0,105844.0,11.45
보행보조기,7760.0,100554.0,12.96
납골당꾸미기,8500.0,38780.0,4.56
보청기,24090.0,44597.0,1.85
목발,10020.0,95039.0,9.48
포타포티,5510.0,2697.0,0.49
휠체어대여,10530.0,1347.0,0.13
경량휠체어,2220.0,33956.0,15.3
요강,7010.0,39569.0,5.64
이동식변기,3550.0,93713.0,26.4
거북목교정기,14450.0,25874.0,1.79
목견인기,15450.0,31976.0,2.07
자세교정밴드,9270.0,90342.0,9.75
의료용압박스타킹,11250.0,51808.0,4.61
거북목교정,19630.0,46302.0,2.36
어깨교정밴드,3080.0,46930.0,15.24
센시안압박스타킹,8700.0,4477.0,0.51
허리스트레칭기구,1810.0,47445.0,26.21
허리견인기,1660.0,14932.0,9.0
발목보조기,3230.0,28941.0,8.96
CPM대여,4350.0,168.0,0.04
굽은등교정기,3720.0,22172.0,5.96
골반교정기,3250.0,8925.0,2.75
깁스신발,2710.0,10598.0,3.91
저주파치료기,10420.0,16615.0,1.59
부항기,4410.0,47324.0,10.73
적외선조사기,8270.0,27496.0,3.32
적외선치료기,9430.0,11864.0,1.26
원적외선온열치료기,8410.0,3809.0,0.45
초음파치료기,3390.0,4181.0,1.23
온열부항의료기기,4000.0,45.0,0.01
클럭패드,2760.0,53571.0,19.41
부황기,2980.0,47324.0,15.88
한솔부항기,2150.0,6747.0,3.14
온부기,2490.0,149.0,0.06
EMS마사지기,9880.0,96458.0,9.76
비웰스바디펜,4290.0,2.0,0.0
저주파자극기,2280.0,50850.0,22.3
물리치료기,1950.0,23749.0,12.18
부항,10370.0,48221.0,4.65
휴비딕저주파,2180.0,3029.0,1.39
클럭마사지기,10290.0,1180.0,0.11
가정용좌욕기,4100.0,39353.0,9.6
좌훈기,3340.0,32545.0,9.74
근적외선좌욕기,3530.0,9059.0,2.57
좌욕,10200.0,86168.0,8.45
치질좌욕기,3390.0,15868.0,4.68
좌욕대야,2140.0,17880.0,8.36
큐손길N,5470.0,2.0,0.0
근적외선,4100.0,66615.0,16.25
원적외선좌욕기,1430.0,3296.0,2.3
질온관리기,1710.0,24.0,0.01
적외선좌욕기,1220.0,4839.0,3.97
임산부좌욕기,1060.0,22641.0,21.36
온릴스,1980.0,146.0,0.07
파쉬보온물주머니,16430.0,6653.0,0.4
눈찜질팩,9290.0,39886.0,4.29
전기찜질팩,9550.0,78361.0,8.21
발온열기,11950.0,65827.0,5.51
파쉬,10730.0,11954.0,1.11
허리찜질기,6050.0,102436.0,16.93
어깨찜질기,5610.0,81688.0,14.56
온수찜질기,5330.0,37069.0,6.95
황토찜질팩,8680.0,67609.0,7.79
어깨찜질팩,4150.0,99149.0,23.89
팥찜질팩,4680.0,8800.0,1.88
무릎찜질기,4440.0,54988.0,12.38
파쉬물주머니,7190.0,7456.0,1.04
이갈이마우스피스,14970.0,9209.0,0.62
애터미치약,22980.0,3444.0,0.15
미백치약,21750.0,46419.0,2.13
켄트칫솔,23720.0,19680.0,0.83
혀클리너,18120.0,78376.0,4.33
어금니칫솔,12750.0,25555.0,2.0
큐라덴칫솔,16310.0,1973.0,0.12
첨단칫솔,13090.0,1553.0,0.12
애터미칫솔,13220.0,2596.0,0.2
유시몰치약,23880.0,5847.0,0.24
온열안대,14670.0,50050.0,3.41
안경세척기,4120.0,96011.0,23.3
식염수,14580.0,9516.0,0.65
보스톤심플러스,3080.0,932.0,0.3
옵티프리,5180.0,2573.0,0.5
에이오셉,3350.0,396.0,0.12
초음파안경세척기,2350.0,85043.0,36.19
메구리즘온열안대,4780.0,1527.0,0.32
생리식염수,15670.0,1815.0,0.12
안경초음파세척기,1880.0,85042.0,45.24
멸균생리식염수,8650.0,779.0,0.09
옵티프리퓨어모이스트,2430.0,534.0,0.22
메구리즘,5450.0,3791.0,0.7
무지외반증교정기,16360.0,13011.0,0.8
건식족욕기,17270.0,48043.0,2.78
내성발톱교정기,6280.0,17038.0,2.71
그랜즈레미디,10290.0,620.0,0.06
셀라큐어,10750.0,107.0,0.01
코지마발마사지기,11130.0,940.0,0.08
폴리오종아리마사지기,25790.0,366.0,0.01
공기압다리마사지기,7830.0,54762.0,6.99
손마사지기,23420.0,38493.0,1.64
눈마사지기,21730.0,89900.0,4.14
괄사마사지기,14700.0,75070.0,5.11
바디프랜드팔콘,19680.0,21.0,0.0
토르박스,27830.0,10793.0,0.39
매직캔,25100.0,28144.0,1.12
여인초,15350.0,7150.0,0.47
인형꽃다발,15160.0,54020.0,3.56
올리브나무,23760.0,53252.0,2.24
양파모종,9710.0,7804.0,0.8
학예회꽃다발,14410.0,18631.0,1.29
사랑초,12580.0,7210.0,0.57
몬스테라알보,11260.0,5519.0,0.49
킨더조이꽃다발,12200.0,4690.0,0.38
튤립구근,15440.0,9953.0,0.64
호야,27810.0,97319.0,3.5
분갈이흙,7890.0,87488.0,11.09
비닐하우스자재,13090.0,84843.0,6.48
제초매트,7250.0,41739.0,5.76
더퍼스트슬램덩크블루레이,1540.0,103.0,0.07
슬램덩크블루레이,1300.0,758.0,0.58
블루자이언트특전,1450.0,119.0,0.08
아이유골든아워,1410.0,1391.0,0.99
백색소음기,12820.0,12595.0,0.98
오닉스포크5,14880.0,3938.0,0.26
스캔톡,15730.0,1981.0,0.13
소형녹음기,5310.0,57135.0,10.76
초소형녹음기,4420.0,35368.0,8.0
오닉스팔마,9820.0,629.0,0.06
오닉스페이지,9950.0,1127.0,0.11
말랑하니백색소음기,6800.0,11.0,0.0
전자책,27330.0,89015.0,3.26
오닉스포크5S,3780.0,1300.0,0.34
전자사전,6860.0,31810.0,4.64
크레마,18080.0,66863.0,3.7
E북리더기,7820.0,9237.0,1.18
크레마이북리더기,5880.0,1941.0,0.33
소니녹음기,2370.0,5601.0,2.36
포크5S,2110.0,1562.0,0.74
닌텐도스위치라이트,27470.0,62218.0,2.26
마리오원더,21320.0,5251.0,0.25
듀얼센스,18510.0,34693.0,1.87
닌텐도스위치조이콘,12690.0,87666.0,6.91
중고컴퓨터,17090.0,101541.0,5.94
삼성올인원PC,6260.0,5006.0,0.8
삼성데스크탑,7020.0,88127.0,12.55
온열마우스패드,9290.0,53695.0,5.78
15인치노트북파우치,3830.0,93288.0,24.36
16인치노트북파우치,5280.0,54334.0,10.29
삼성노트북충전기,11610.0,80519.0,6.94
17인치노트북가방,4230.0,94439.0,22.33
14인치노트북파우치,2610.0,50671.0,19.41
17인치노트북파우치,2120.0,25902.0,12.22
아이패드에어5케이스,10040.0,101309.0,10.09
짭플펜슬,11860.0,6844.0,0.58
아이패드9세대케이스,7690.0,68879.0,8.96
애플펜슬케이스,10710.0,84041.0,7.85
애플펜슬펜촉,23140.0,21940.0,0.95
갤럭시탭S9플러스케이스,5800.0,32918.0,5.68
갤럭시탭S9울트라케이스,6690.0,30083.0,4.5
아이패드미니6케이스,3880.0,71187.0,18.35
갤럭시탭S7FE케이스,7370.0,60398.0,8.2
갤럭시탭S9케이스,9420.0,77188.0,8.19
갤럭시탭S6라이트케이스,3460.0,44311.0,12.81
듀얼모니터받침대,6320.0,70276.0,11.12
카멜마운트,18380.0,27935.0,1.52
카멜모니터암,7810.0,11707.0,1.5
싱글모니터암,1020.0,47470.0,46.54
모니터받침,3100.0,62671.0,20.22
NBH100,2580.0,563.0,0.22
높이조절모니터받침대,1240.0,54941.0,44.31
NB모니터암,2000.0,13120.0,6.56
다이소모니터받침대,6700.0,887.0,0.13
데스커모니터받침대,2830.0,533.0,0.19
앱코K660,5280.0,4143.0,0.78
G304,29400.0,17960.0,0.61
스칼렛솔로,2910.0,2369.0,0.81
오디언트,1370.0,5481.0,4.0
브리츠스피커,8580.0,65681.0,7.66
브리츠사운드바,2610.0,13572.0,5.2
로지텍헤드셋,7870.0,34953.0,4.44
씨게이트외장하드,4990.0,47273.0,9.47
삼성외장SSD,2080.0,24218.0,11.64
삼성T7,3020.0,20493.0,6.79
샌디스크USB,8420.0,80119.0,9.52
삼성외장하드,7040.0,37036.0,5.26
870EVO,2430.0,7771.0,3.2
4070TI,29900.0,22609.0,0.76
광HDMI케이블,1380.0,105710.0,76.6
4060TI,24960.0,19779.0,0.79
DVITOHDMI,5190.0,64739.0,12.47
HDMITODVI,4540.0,64739.0,14.26
RTX3060,26060.0,61190.0,2.35
아이피타임공유기,8060.0,45454.0,5.64
IPTIME공유기,19450.0,45454.0,2.34
랜테스터기,3110.0,40917.0,13.16
AX2004M,3420.0,2388.0,0.7
AX6000M,1960.0,719.0,0.37
A2004SE,2080.0,1376.0,0.66
A604SE,2230.0,1665.0,0.75
AX3000M,2180.0,2074.0,0.95
AX2004,2260.0,3338.0,1.48
MSOFFICE,9890.0,7204.0,0.73
마이크로소프트오피스,13430.0,4246.0,0.32
마이크로오피스,7330.0,14735.0,2.01
오피스2021,6590.0,18502.0,2.81
