relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
미사보,3740.0,12347.0,3.3,27439.0,717216.0
성경책리폼,5120.0,3203.0,0.63,37692.0,450346.0
금강저,3980.0,26693.0,6.71,28326.0,355500.0
목탁,7860.0,23540.0,2.99,25827.0,443841.0
성경필사노트,3360.0,5454.0,1.62,7703.0,169895.0
성경책커버,1930.0,5016.0,2.6,24742.0,521914.0
108염주,1670.0,68828.0,41.21,18620.0,84311.0
큰글자성경,2280.0,937.0,0.41,49327.0,310400.0
성모상,1710.0,14305.0,8.37,35182.0,210496.0
성경리폼,1730.0,6023.0,3.48,39346.0,410589.0
3단빨래바구니,3170.0,39907.0,12.59,28166.0,1047958.0
스탠드다리미판,2870.0,41322.0,14.4,35593.0,1133428.0
라탄빨래바구니,2170.0,56797.0,26.17,22512.0,664790.0
한샘빨래건조대,4880.0,1225.0,0.25,52124.0,2994813.0
양모볼,10360.0,23287.0,2.25,7964.0,1149342.0
가정용혈압계,10620.0,18094.0,1.7,64152.0,3736235.0
오므론혈압계,24940.0,4226.0,0.17,64183.0,3464164.0
만보기,15460.0,93361.0,6.04,6304.0,707793.0
브라운체온계6525,6880.0,609.0,0.09,90145.0,3787083.0
브라운체온계6030,8360.0,2034.0,0.24,75101.0,10500285.0
청진기,9020.0,71621.0,7.94,68386.0,746666.0
혈압기,8500.0,103127.0,12.13,56408.0,5122615.0
카카오체중계,2620.0,909.0,0.35,48408.0,24500.0
비접촉체온계,3850.0,15389.0,4.0,45415.0,398763.0
샤오미체중계,5720.0,4892.0,0.86,22950.0,129333.0
카스체중계,3580.0,13283.0,3.71,24514.0,305384.0
브라운체온계6520,3030.0,1811.0,0.6,64882.0,64976.0
IRT6030,3000.0,2061.0,0.69,75009.0,14085054.0
전담액상,21830.0,13663.0,0.63,10587.0,20798614.0
덴탈마스크,23880.0,89521.0,3.75,7329.0,3744412.0
입호흡액상,12160.0,70880.0,5.83,10536.0,22425064.0
웰컴드링크,6290.0,2133.0,0.34,45716.0,52779400.0
차이코스,23440.0,1195.0,0.05,56682.0,2931598.0
발라리안코일,23430.0,752.0,0.03,10957.0,4313302.0
일회용전자담배,28210.0,7445.0,0.26,17772.0,2431376.0
연속혈당측정기,19040.0,3324.0,0.17,92905.0,2044113.0
아큐첵인스턴트,6020.0,4390.0,0.73,29835.0,2084996.0
아큐첵퍼포마시험지,2760.0,1937.0,0.7,26261.0,568512.0
글루코핏,5090.0,133.0,0.03,55917.0,24700.0
당뇨측정기,6550.0,49650.0,7.58,35461.0,5475186.0
아큐첵인스턴트시험지,2950.0,3341.0,1.13,30661.0,253114.0
아큐첵혈당측정기,6240.0,4172.0,0.67,38910.0,1686937.0
아큐첵퍼포마,2230.0,2444.0,1.1,26895.0,651492.0
리브레혈당,9690.0,1338.0,0.14,92975.0,2064997.0
혈당시험지,1910.0,55329.0,28.97,18945.0,2201143.0
케어센스N시험지,3470.0,2418.0,0.7,32145.0,1113289.0
혈당체크기,5460.0,11245.0,2.06,35918.0,2882834.0
아큐첵,6200.0,16099.0,2.6,22747.0,879981.0
아큐첵액티브,1530.0,4143.0,2.71,18102.0,120357.0
인슐린주사기,4360.0,9817.0,2.25,12274.0,575382.0
바로잰혈당시험지,1510.0,4207.0,2.79,25833.0,520644.0
듀오덤엑스트라씬,10460.0,2378.0,0.23,15733.0,1770679.0
여드름패치,25940.0,15400.0,0.59,6470.0,620482.0
더마틱스울트라,13720.0,864.0,0.06,25962.0,1495105.0
흉터연고,18860.0,6184.0,0.33,25566.0,2216233.0
실리콘약병,7390.0,2268.0,0.31,10908.0,712139.0
더마틱스울트라겔,11940.0,466.0,0.04,23146.0,1646295.0
소독용에탄올,8940.0,17849.0,2.0,10789.0,1100695.0
이어포셉,6820.0,3193.0,0.47,45440.0,1266093.0
오므론네블라이저,10870.0,686.0,0.06,52355.0,206461.0
돋보기안경,15690.0,63920.0,4.07,13206.0,721973.0
납골당꾸미기,8500.0,38780.0,4.56,20640.0,1078301.0
보청기,24090.0,44597.0,1.85,16613.0,1023963.0
목발,10020.0,95039.0,9.48,21580.0,794433.0
요강,7010.0,39569.0,5.64,20996.0,959731.0
이동식변기,3550.0,93713.0,26.4,45756.0,1308784.0
거북목교정기,14450.0,25874.0,1.79,28520.0,3909451.0
목견인기,15450.0,31976.0,2.07,45915.0,7022835.0
자세교정밴드,9270.0,90342.0,9.75,20547.0,4062436.0
의료용압박스타킹,11250.0,51808.0,4.61,28813.0,5804968.0
거북목교정,19630.0,46302.0,2.36,28039.0,5843947.0
어깨교정밴드,3080.0,46930.0,15.24,19349.0,6291939.0
센시안압박스타킹,8700.0,4477.0,0.51,24187.0,6445899.0
허리스트레칭기구,1810.0,47445.0,26.21,29180.0,1197218.0
허리견인기,1660.0,14932.0,9.0,79291.0,8499096.0
발목보조기,3230.0,28941.0,8.96,65599.0,681450.0
굽은등교정기,3720.0,22172.0,5.96,32701.0,4264745.0
깁스신발,2710.0,10598.0,3.91,20192.0,219513.0
부항기,4410.0,47324.0,10.73,24542.0,2476922.0
적외선조사기,8270.0,27496.0,3.32,63011.0,4154408.0
적외선치료기,9430.0,11864.0,1.26,79867.0,3506103.0
클럭패드,2760.0,53571.0,19.41,18446.0,621520.0
부황기,2980.0,47324.0,15.88,24240.0,2476922.0
한솔부항기,2150.0,6747.0,3.14,22599.0,1306812.0
EMS마사지기,9880.0,96458.0,9.76,42572.0,840421.0
저주파자극기,2280.0,50850.0,22.3,53538.0,1777788.0
부항,10370.0,48221.0,4.65,18489.0,2476922.0
휴비딕저주파,2180.0,3029.0,1.39,32624.0,813378.0
가정용좌욕기,4100.0,39353.0,9.6,66433.0,4416465.0
좌훈기,3340.0,32545.0,9.74,91154.0,386000.0
좌욕,10200.0,86168.0,8.45,20392.0,8166107.0
치질좌욕기,3390.0,15868.0,4.68,39658.0,4239551.0
좌욕대야,2140.0,17880.0,8.36,9118.0,3945851.0
임산부좌욕기,1060.0,22641.0,21.36,13847.0,5509822.0
파쉬보온물주머니,16430.0,6653.0,0.4,17794.0,774376.0
눈찜질팩,9290.0,39886.0,4.29,10534.0,1921452.0
전기찜질팩,9550.0,78361.0,8.21,31216.0,5349703.0
발온열기,11950.0,65827.0,5.51,42900.0,3905478.0
파쉬,10730.0,11954.0,1.11,16865.0,916294.0
허리찜질기,6050.0,102436.0,16.93,41084.0,6212995.0
어깨찜질기,5610.0,81688.0,14.56,49277.0,5711380.0
온수찜질기,5330.0,37069.0,6.95,21200.0,1028517.0
황토찜질팩,8680.0,67609.0,7.79,6464.0,1248335.0
어깨찜질팩,4150.0,99149.0,23.89,28026.0,1835434.0
팥찜질팩,4680.0,8800.0,1.88,18706.0,1004603.0
무릎찜질기,4440.0,54988.0,12.38,42797.0,5062267.0
파쉬물주머니,7190.0,7456.0,1.04,17614.0,696846.0
이갈이마우스피스,14970.0,9209.0,0.62,21650.0,1963684.0
애터미치약,22980.0,3444.0,0.15,14827.0,670033.0
미백치약,21750.0,46419.0,2.13,11288.0,8775146.0
켄트칫솔,23720.0,19680.0,0.83,22869.0,3919125.0
혀클리너,18120.0,78376.0,4.33,6893.0,2872011.0
어금니칫솔,12750.0,25555.0,2.0,9676.0,3632050.0
큐라덴칫솔,16310.0,1973.0,0.12,21317.0,682136.0
첨단칫솔,13090.0,1553.0,0.12,7188.0,218296.0
애터미칫솔,13220.0,2596.0,0.2,15832.0,167521.0
유시몰치약,23880.0,5847.0,0.24,20255.0,114709.0
온열안대,14670.0,50050.0,3.41,14362.0,1833250.0
안경세척기,4120.0,96011.0,23.3,31976.0,2391975.0
식염수,14580.0,9516.0,0.65,16248.0,1383648.0
보스톤심플러스,3080.0,932.0,0.3,30687.0,1737689.0
옵티프리,5180.0,2573.0,0.5,16240.0,120415.0
에이오셉,3350.0,396.0,0.12,24690.0,167801.0
초음파안경세척기,2350.0,85043.0,36.19,35277.0,2133478.0
메구리즘온열안대,4780.0,1527.0,0.32,22517.0,1468393.0
생리식염수,15670.0,1815.0,0.12,14239.0,397304.0
안경초음파세척기,1880.0,85042.0,45.24,44588.0,2135862.0
멸균생리식염수,8650.0,779.0,0.09,13346.0,324947.0
옵티프리퓨어모이스트,2430.0,534.0,0.22,22201.0,266925.0
메구리즘,5450.0,3791.0,0.7,10812.0,1555594.0
무지외반증교정기,16360.0,13011.0,0.8,18023.0,4318929.0
내성발톱교정기,6280.0,17038.0,2.71,15298.0,1683805.0
그랜즈레미디,10290.0,620.0,0.06,21120.0,2372643.0
셀라큐어,10750.0,107.0,0.01,47172.0,175149500.0
손마사지기,23420.0,38493.0,1.64,69619.0,107800.0
눈마사지기,21730.0,89900.0,4.14,51059.0,268609.0
괄사마사지기,14700.0,75070.0,5.11,39567.0,2394611.0
토르박스,27830.0,10793.0,0.39,47950.0,2455057.0
매직캔,25100.0,28144.0,1.12,36509.0,9086534.0
여인초,15350.0,7150.0,0.47,62441.0,771645.0
인형꽃다발,15160.0,54020.0,3.56,21631.0,519493.0
올리브나무,23760.0,53252.0,2.24,45575.0,434728.0
양파모종,9710.0,7804.0,0.8,95100.0,227490.0
학예회꽃다발,14410.0,18631.0,1.29,15156.0,414576.0
킨더조이꽃다발,12200.0,4690.0,0.38,14252.0,375176.0
호야,27810.0,97319.0,3.5,14033.0,118309.0
분갈이흙,7890.0,87488.0,11.09,6456.0,1355874.0
비닐하우스자재,13090.0,84843.0,6.48,37880.0,1608036.0
제초매트,7250.0,41739.0,5.76,29561.0,868087.0
더퍼스트슬램덩크블루레이,1540.0,103.0,0.07,97779.0,185307.0
아이유골든아워,1410.0,1391.0,0.99,38237.0,1153762.0
백색소음기,12820.0,12595.0,0.98,52373.0,4752425.0
소형녹음기,5310.0,57135.0,10.76,85793.0,2862820.0
초소형녹음기,4420.0,35368.0,8.0,67713.0,2523859.0
오닉스팔마,9820.0,629.0,0.06,10362.0,1769337.0
말랑하니백색소음기,6800.0,11.0,0.0,46713.0,80066850.0
마리오원더,21320.0,5251.0,0.25,62224.0,4494519.0
듀얼센스,18510.0,34693.0,1.87,56988.0,1333194.0
닌텐도스위치조이콘,12690.0,87666.0,6.91,38927.0,1855910.0
온열마우스패드,9290.0,53695.0,5.78,23290.0,488509.0
15인치노트북파우치,3830.0,93288.0,24.36,21151.0,1881520.0
16인치노트북파우치,5280.0,54334.0,10.29,23811.0,1735034.0
삼성노트북충전기,11610.0,80519.0,6.94,17389.0,678766.0
17인치노트북가방,4230.0,94439.0,22.33,27592.0,1079264.0
14인치노트북파우치,2610.0,50671.0,19.41,21639.0,408043.0
17인치노트북파우치,2120.0,25902.0,12.22,25030.0,1012804.0
아이패드에어5케이스,10040.0,101309.0,10.09,20576.0,1642475.0
짭플펜슬,11860.0,6844.0,0.58,23348.0,1928181.0
아이패드9세대케이스,7690.0,68879.0,8.96,18214.0,1321040.0
애플펜슬케이스,10710.0,84041.0,7.85,7820.0,384900.0
애플펜슬펜촉,23140.0,21940.0,0.95,7997.0,1930618.0
갤럭시탭S9플러스케이스,5800.0,32918.0,5.68,33889.0,1914947.0
갤럭시탭S9울트라케이스,6690.0,30083.0,4.5,36195.0,1957741.0
아이패드미니6케이스,3880.0,71187.0,18.35,17607.0,610116.0
갤럭시탭S7FE케이스,7370.0,60398.0,8.2,21732.0,2662054.0
갤럭시탭S9케이스,9420.0,77188.0,8.19,36537.0,3664995.0
갤럭시탭S6라이트케이스,3460.0,44311.0,12.81,15994.0,1209546.0
듀얼모니터받침대,6320.0,70276.0,11.12,20343.0,1346043.0
카멜마운트,18380.0,27935.0,1.52,86537.0,1180045.0
카멜모니터암,7810.0,11707.0,1.5,74634.0,1220924.0
싱글모니터암,1020.0,47470.0,46.54,49209.0,1426225.0
모니터받침,3100.0,62671.0,20.22,22430.0,331109.0
높이조절모니터받침대,1240.0,54941.0,44.31,28620.0,912817.0
NB모니터암,2000.0,13120.0,6.56,41655.0,311321.0
다이소모니터받침대,6700.0,887.0,0.13,29737.0,76146.0
데스커모니터받침대,2830.0,533.0,0.19,41540.0,3970716.0
앱코K660,5280.0,4143.0,0.78,60688.0,436319.0
G304,29400.0,17960.0,0.61,38431.0,1757810.0
브리츠스피커,8580.0,65681.0,7.66,31507.0,814693.0
브리츠사운드바,2610.0,13572.0,5.2,33115.0,675663.0
샌디스크USB,8420.0,80119.0,9.52,18427.0,2266481.0
광HDMI케이블,1380.0,105710.0,76.6,92415.0,186849.0
아이피타임공유기,8060.0,45454.0,5.64,63375.0,880524.0
IPTIME공유기,19450.0,45454.0,2.34,61410.0,880524.0
랜테스터기,3110.0,40917.0,13.16,28862.0,202490.0
A2004SE,2080.0,1376.0,0.66,72789.0,271676.0
A604SE,2230.0,1665.0,0.75,42630.0,69509.0
AX2004,2260.0,3338.0,1.48,94870.0,883525.0
굿노트다이어리,9940.0,4663.0,0.47,7011.0,178043.0
마이크로소프트365,18810.0,3754.0,0.2,88011.0,1813479.0
프로크리에이트브러쉬,9420.0,862.0,0.09,10297.0,557027.0
이케아수납장,27340.0,40607.0,1.49,62395.0,709450.0
이케아선반,19610.0,55692.0,2.84,25656.0,869034.0
교구장,16340.0,99868.0,6.11,97739.0,8315989.0
침대안전가드,5860.0,102328.0,17.46,39400.0,2521757.0
아기침대가드,9420.0,46878.0,4.98,49824.0,3276435.0
아기행거,8420.0,37101.0,4.41,64592.0,605511.0
본베베침대가드,9330.0,30.0,0.0,54322.0,42034650.0
콤비락,2600.0,8851.0,3.4,9845.0,725.0
라지킹침구세트,4720.0,27140.0,5.75,85302.0,1027914.0
목화솜이불,6160.0,20408.0,3.31,59243.0,1855878.0
알레르망베개,3420.0,6598.0,1.93,30547.0,687166.0
요솜,1730.0,37028.0,21.4,60994.0,875190.0
헬렌스타인베개,1380.0,8361.0,6.06,30305.0,1092666.0
빨아쓰는규조토발매트,3510.0,94897.0,27.04,9900.0,944777.0
워셔블러그,5230.0,105881.0,20.24,30863.0,1921272.0
우드블라인드,16620.0,68545.0,4.12,18037.0,2494390.0
나비주름커튼,3350.0,91889.0,27.43,21189.0,2334668.0
작은창커튼,8260.0,95844.0,11.6,22108.0,778177.0
모던하우스커튼,12420.0,11722.0,0.94,50808.0,737754.0
