relative_keyword,avg_sale
종아리압박스타킹,2148312
닥스스카프,597161
주름개선크림,5748238
비타민C세럼,2305176
톤업선크림,4433465
선스틱,9618345
닥터지선크림,1058821
헤라썬크림,940886
썬스틱,9749016
선쿠션,2843956
달바선크림,292598
AHC선스틱,1386620
랑콤선크림,792953
무기자차선크림,817999
썬쿠션,2743053
헤라선크림,937760
셀퓨전씨선크림,60463
아이오페선크림,524302
이니스프리선크림,18759
엘로엘선쿠션,1478148
에스쁘아선크림,107507
클렌징워터,1215505
약알칼리성클렌징폼,658813
약산성폼클렌징,1401710
클렌징밤,659043
필링젤,2334193
엔자임파우더,970178
어성초비누,866648
천연비누,948667
바이오더마클렌징워터,539916
센카퍼펙트휩,276380
클렌징티슈,1092305
클렌징밀크,3373371
인셀덤클린업파우더,3455385
닥터지폼클렌징,481953
바닐라코클렌징밤,84835
콜라겐마스크팩,4840431
워시오프팩,1860745
메디힐마스크팩,1847317
수면팩,4673093
콜라겐팩,1629964
참존콘트롤크림,87515
필오프팩,9517076
슬리핑마스크,1237936
수분마스크팩,6004730
린제이모델링팩,15683063
코팩,1725802
기미패치,468678
AHC마스크팩,1015078
쿠션팩트,3380781
에스티로더더블웨어파운데이션,1732374
헤라쿠션,4258680
헤라블랙쿠션리필,3094010
메이크업포에버UHD파우더,459765
라네즈네오쿠션,6599604
에스티로더파운데이션,1761593
클리오킬커버쿠션,673900
인셀덤쿠션,1353134
아이펜슬,38263
눈썹영양제,779958
워터프루프아이라이너,759428
토니모리틴트,202629
손톱영양제,1172015
여성청결제,3777384
올인원바디워시,2524992
약산성바디워시,7557020
러브제리,2299340
천연샴푸,8613731
비듬샴푸,9708132
어성초샴푸,6511303
염색샴푸,2243097
바이오틴탈모샴푸,2771657
셀프다운펌,2285688
컬러트리트먼트,413282
밀본염색약,1551880
미용실염색약,2390212
헤나염색약,2677407
미장센염색약,870558
포마드왁스,1324133
웰라염색약,454580
로레알염색약,1658874
흑채,1152507
컬크림,2626033
롤빗,1384942
트라발로향수공병,367766
얼굴마사지기구,561095
페이스롤러,1236448
리프팅밴드,404950
가닥속눈썹,2782018
샴푸브러쉬,398087
아베다브러쉬,679162
타투가리는스티커,455664
하트브러쉬,414940
올인원로션,3927666
남성청결제,2797113
남자올인원로션,3694309
남자선크림,619976
우르오스올인원,887822
우르오스,948771
헤라옴므,2787107
남자파운데이션,984106
비오템옴므,1882186
SK키즈폰,
CTOC케이블,2343647
어린이카메라,1453201
바디캠,2552723
오페라글라스,1192176
단망경,220371
콘서트망원경,1323970
갤럭시버즈2케이스,1921368
원룸청소기,8955881
갈바닉마사지기,26770175
봉고데기,5878739
매직기,6801521
미용실드라이기,3399095
속눈썹고데기,388676
헤어드라이기추천,1489053
판고데기,6941282
무선안드로이드오토,31960314
염소고기,1984369
흑염소고기,2738934
토끼고기,252024
메추리,329250
말고기,109276
기러기고기,168209
타조고기,993566
메추리고기,347863
메추리구이,623666
흑염소수육,5861409
플레이팅도마,1025395
이유식도마,458711
캄포도마,664021
도마거치대,650661
실리콘도마,511514
월넛도마,1551432
실바니안패밀리,135566
바비인형,250049
리틀미미산리오,306895
미미인형,314724
실바니안블라인드백,38768
개비의매직하우스,161445
파올라레이나,354027
리틀미미,197894
콩지래빗,518261
리본돌,213712
실바니안이층집,13658
폴리포켓,47043
똘똘이,80450
콩순이인형,181486
LOL서프라이즈,37579
인형극,29766
수학보드게임,43816
영어게임,210102
사이트워드,329916
오르다,7333
아기우산,823645
햄스터베딩,961105
햄스터모래,255959
햄스터사료,355256
햄스터톱밥,1480454
톱밥,2421438
햄스터은신처,224674
골든햄스터케이지,1755697
햄스터쳇바퀴,379029
햄스터리빙박스,1704509
강아지산소방,7253286
도치퀸,61275
토끼사료,674395
건초,1006685
토끼분양,1500
티모시,1303645
앵무새먹이,197983
병아리부화기,814506
앵무새펠렛,145332
비둘기퇴치,196909
비둘기퇴치망,299690
닭물통,341070
대형새장,1739100
버드스파이크,264005
앵무새놀이터,185066
강아지옷장,386579
강아지행거,364057
도마뱀사육장,1090213
사슴벌레,511916
크레스티드게코사육장,849196
강아지슬개골보호대,1294779
애완돌,196027
거북이육지,372353
소라게,533324
아크릴사육장,719213
거북이쉼터,450314
판게아인섹트,807688
슈퍼심플송,35875
까이유,76975
알파블럭스,317926
마법천자문,10875
받침없는동화,
추피,212456
한글이야호,
클리포드,3884400
EBS봉투모의고사,
독학사,
지역농협NCS,
EBS파이널모의고사,
EBS문해력,
내신콘서트,
만점왕,
EBS50일수학,
EBS모의고사,
ARTHUR,
ATOZMYSTERIES,
맥스앤루비,1149159
윔피키드원서,
영어원서,
NATETHEGREAT,
뉴베리수상작,
ELEPHANTANDPIGGIE,
오싹오싹팬티,
네이트더그레이트,
로알드달,
콕서점,
3IN1케이블,283659
아이폰고속충전케이블,3568257
미러링케이블,399181
이어폰젠더,296324
아이폰젠더,242309
C타입이어폰젠더,198294
스마트폰망원렌즈,672392
핸드폰망원렌즈,709350
아이폰망원렌즈,69646
에이펙셀망원렌즈,1361201
접사렌즈,361874
어안렌즈,492626
에이펙셀,639231
자바라거치대,2747925
침대핸드폰거치대,2626719
그립톡제작,490857
누워서핸드폰거치대,1490093
핸드폰비즈스트랩,279652
키티스트랩,112268
수화기,18261
갤럭시워치4클래식,143641
미밴드7,53255
갤럭시핏2,3484000
미밴드8,467300
핸드폰발열,207075
위치추적기,845441
맥세이프카드케이스,1064162
맥세이프지갑,1537349
아이폰맥세이프카드지갑,778267
에어태그케이스,30993
스마트태그,589458
에어태그,39523
키즈카메라,1458455
유아카메라,1272325
하이라라카메라,2976868
이지드로잉키즈카메라,492770
레트로캠코더,876926
캠코더대여,242370
포코포코,
키즈패딩조끼,864115
키즈경량조끼,310355
아기조끼,522254
캉골키즈조끼,36457
탑텐키즈조끼,
블루독조끼,295280
아가방조끼,109550
에뜨와조끼,319744
유아패딩조끼,932838
아기실내조끼,444379
폴햄키즈조끼,912593
블루독베이비조끼,231394
아워패딩조끼,730407
유아니트조끼,251242
키즈니트조끼,245264
아동패딩조끼,868499
아기상하복,2805831
밀리밤,
데일리베베,1130631
남매룩,2729592
블루독상하복,217958
밍크뮤상하복,
노스페이스키즈세트,164568
에뜨와상하복,119849
U자바디필로우,907311
임산부베개,1252784
해피테일즈바디필로우,17463543
센스맘바디필로우,285482
해피테일즈,1500670
산모패드,744190
굿바이밀티,2693625
맘스안심패드,1206688
부모님임밍아웃,174269
임산부선물,2236068
입덧,185183
세타필크림,4140618
니베아크림,105720
독일니베아크림,95552
바이오더마인텐시브밤,428497
바이오더마아토덤크림,485749
밀크아미노산크림,306207
보로탈코바디크림,455393
일리윤수분크림,310199
바이오더마아토덤,521163
일리윤세라마이드아토크림,374686
조말론바디크림,108822
니베아독일,106888
마사지오일,781567
뉴트로지나바디오일,193554
눅스오일,203364
