relative_keyword,total_search,total_store,competitive_rate,avg_price,avg_sale
걸이식여과기,3600.0,50144.0,13.928888888888888,12933.0,298066.0
거북이사료,1690.0,31292.0,18.515976331360942,8136.0,795736.0
물멍,3680.0,88939.0,24.16820652173913,59579.0,46966.0
엔드그레인도마,18790.0,21675.0,1.153539116551357,99038.0,1975563.0
라탄빨래바구니,2120.0,54001.0,25.47216981132076,18897.0,636067.0
3단빨래바구니,3060.0,38374.0,12.540522875816992,26723.0,907173.0
양모볼,9600.0,23700.0,2.46875,9150.0,986520.0
건조기양모볼,5060.0,9720.0,1.9209486166007903,8900.0,597283.0
혈압측정기,25170.0,106530.0,4.232419547079857,51317.0,4223680.0
가정용혈압계,10480.0,18222.0,1.7387404580152672,63121.0,3882649.0
비접촉체온계,4100.0,15239.0,3.716829268292683,44694.0,318838.0
휴비딕체온계,3870.0,2247.0,0.5806201550387597,52818.0,446300.0
오므론혈압계,24710.0,4358.0,0.1763658437879401,70744.0,2987784.0
혈압기,8390.0,103054.0,12.282955899880813,48482.0,4941812.0
가정용혈압기,2420.0,18222.0,7.5297520661157025,63509.0,3821910.0
만보기,18710.0,92825.0,4.961250668091929,8493.0,644783.0
체지방체중계,1820.0,79389.0,43.62032967032967,25518.0,12946288.0
국산덴탈마스크,1760.0,27040.0,15.363636363636363,7634.0,2278114.0
입호흡액상,12340.0,78838.0,6.388816855753647,9733.0,22545224.0
차이코스,22670.0,908.0,0.0400529333921482,58100.0,3117610.0
액상전자담배,27990.0,123459.0,4.410825294748125,9858.0,21238358.0
자가진단키트,7720.0,18087.0,2.342875647668394,8307.0,1109749.0
일회용전자담배,26890.0,5695.0,0.2117887690591298,17638.0,2631343.0
아에르마스크,24180.0,16635.0,0.6879652605459057,15817.0,1574374.0
혈당체크기,5270.0,9694.0,1.8394686907020872,36051.0,2935522.0
녹십자혈당측정기,1640.0,2712.0,1.6536585365853658,31847.0,2775235.0
혈당시험지,1970.0,53305.0,27.05837563451777,19179.0,2162348.0
아큐첵퍼포마시험지,3000.0,1826.0,0.6086666666666667,24689.0,615624.0
연속혈당측정기,15930.0,3282.0,0.2060263653483992,93859.0,1946101.0
아큐첵인스턴트,5910.0,4273.0,0.7230118443316413,29801.0,2383590.0
당뇨측정기,6380.0,45877.0,7.190752351097179,41389.0,5349168.0
아큐첵인스턴트시험지,3040.0,3189.0,1.0490131578947368,32390.0,223431.0
무채혈혈당측정기,5590.0,9064.0,1.6214669051878354,93922.0,4270958.0
혈당계,2100.0,44681.0,21.276666666666667,33030.0,6797358.0
케어센스N시험지,3450.0,2407.0,0.6976811594202899,34530.0,1113772.0
아큐첵혈당측정기,6260.0,4022.0,0.6424920127795527,39543.0,1457204.0
혈당측정기추천,3520.0,70579.0,20.05085227272728,40758.0,5162121.0
아큐첵퍼포마,2180.0,2328.0,1.067889908256881,23808.0,674689.0
당뇨체크기,2560.0,9237.0,3.608203125,36646.0,2819019.0
아큐첵,6300.0,15353.0,2.436984126984127,23292.0,933215.0
여드름패치,24140.0,15205.0,0.62986743993372,7173.0,622824.0
흉터연고,18320.0,5995.0,0.3272379912663755,26735.0,2267598.0
휴대용네블라이저,2120.0,5091.0,2.401415094339623,90788.0,5422658.0
센텔라스카연고,8150.0,1288.0,0.1580368098159509,24856.0,2052026.0
듀오덤엑스트라씬,9770.0,2258.0,0.2311156601842374,15478.0,1648729.0
더마틱스울트라,13410.0,769.0,0.057345264727815,27741.0,1431721.0
흉터제거연고,13760.0,2046.0,0.1486918604651163,23300.0,1517333.0
노인지팡이,4660.0,126373.0,27.118669527896994,24336.0,2186956.0
납골당액자,3430.0,15325.0,4.467930029154519,17408.0,834218.0
돋보기안경,15290.0,58564.0,3.8302158273381295,15354.0,552653.0
깁스방수커버,6700.0,18740.0,2.7970149253731345,11805.0,644342.0
납골당꾸미기,8370.0,38690.0,4.622461170848268,19738.0,961418.0
이동식변기,3670.0,89556.0,24.40217983651226,42946.0,1171558.0
목발,9530.0,87888.0,9.22224554039874,21113.0,1252288.0
어르신지팡이,1740.0,65410.0,37.5919540229885,28282.0,2589470.0
목견인기,18740.0,30629.0,1.634418356456777,46436.0,5594765.0
굽은어깨교정기,1400.0,14992.0,10.708571428571428,24015.0,4151730.0
자세교정밴드,8730.0,85142.0,9.752806414662086,22614.0,3801093.0
의료용압박스타킹,10930.0,50953.0,4.661756633119854,30181.0,5520870.0
라운드숄더교정,4720.0,14872.0,3.1508474576271186,24377.0,4798384.0
거북목교정기,13680.0,24323.0,1.777997076023392,32308.0,3618121.0
어깨교정밴드,2790.0,43468.0,15.579928315412186,18754.0,5643358.0
허리스트레칭기구,1790.0,45456.0,25.39441340782123,20303.0,1173186.0
굽은등교정기,3360.0,19007.0,5.656845238095238,26811.0,3822661.0
일자목교정기,1700.0,9509.0,5.593529411764706,36493.0,3225859.0
목견인치료기,2400.0,4357.0,1.815416666666667,63988.0,7414215.0
바른자세교정,1120.0,74393.0,66.42232142857142,18713.0,2958457.0
허리스트레칭,6720.0,92406.0,13.750892857142857,17603.0,1231380.0
부항기,4470.0,44198.0,9.887695749440716,25351.0,2164447.0
적외선조사기,8800.0,27233.0,3.094659090909091,61064.0,3830543.0
적외선치료기,9790.0,11763.0,1.201532175689479,76550.0,3414875.0
저주파마사지기,15540.0,116704.0,7.50990990990991,39385.0,2142416.0
클럭패드,2840.0,51194.0,18.02605633802817,17263.0,380200.0
조사기,1140.0,35843.0,31.44122807017544,64948.0,5319767.0
EMS마사지기,9620.0,87872.0,9.134303534303534,45076.0,783202.0
저주파자극기,2410.0,47699.0,19.792116182572613,42211.0,1879484.0
실리콘부항,2890.0,7171.0,2.481314878892733,17024.0,328420.0
한솔부항기,2210.0,6526.0,2.9529411764705884,23672.0,1743166.0
가정용좌욕기,4300.0,38845.0,9.033720930232558,18987.0,4300349.0
치질좌욕기,3690.0,15197.0,4.118428184281843,71579.0,4343519.0
좌훈기,3520.0,31543.0,8.961079545454545,71493.0,316126.0
임산부좌욕기,1180.0,21713.0,18.40084745762712,13106.0,5228198.0
좌욕대야,2210.0,17398.0,7.872398190045248,9329.0,4085618.0
좌욕,10550.0,83918.0,7.954312796208531,62308.0,8742724.0
전기찜질팩,10480.0,79438.0,7.579961832061069,33567.0,5916878.0
무릎찜질기,4830.0,52576.0,10.885300207039338,38234.0,5988698.0
허리찜질기,6330.0,100025.0,15.80173775671406,38299.0,6682141.0
어깨찜질기,5720.0,81517.0,14.251223776223776,42366.0,6733685.0
온수찜질기,6660.0,37382.0,5.612912912912913,20812.0,1211025.0
어깨찜질팩,4700.0,101807.0,21.661063829787235,23769.0,1922087.0
눈찜질팩,9790.0,38189.0,3.900817160367722,11778.0,1931243.0
황토찜질기,2130.0,39646.0,18.613145539906103,38569.0,5290106.0
배찜질기,4450.0,58199.0,13.078426966292136,42407.0,7632691.0
허리찜질팩,4580.0,103688.0,22.639301310043667,17345.0,1287610.0
무릎찜질팩,1660.0,45343.0,27.315060240963856,19423.0,1499785.0
미백치약,21540.0,45817.0,2.127065923862581,11999.0,9301176.0
혀클리너,17400.0,76044.0,4.370344827586207,7818.0,2617068.0
이갈이마우스피스,15220.0,9449.0,0.6208278580814718,20338.0,1938519.0
잇몸치약,10170.0,88029.0,8.65575221238938,11925.0,7352275.0
틀니세정제,5540.0,8282.0,1.4949458483754512,14539.0,557325.0
테라브레스,20070.0,7997.0,0.3984554060787245,26501.0,1510872.0
고체치약,21430.0,7203.0,0.3361175921605226,12559.0,436720.0
입냄새치약,2670.0,34589.0,12.954681647940076,19808.0,4637414.0
천연치약,1600.0,10521.0,6.575625,16945.0,1071375.0
치과칫솔,5300.0,69732.0,13.156981132075472,12409.0,3530026.0
켄트칫솔,22720.0,19487.0,0.8577024647887324,24282.0,3662078.0
온열안대,15460.0,47927.0,3.10006468305304,15519.0,1608725.0
렌즈세척액,5420.0,8896.0,1.6413284132841328,15324.0,6490138.0
온열수면안대,1530.0,25741.0,16.824183006535947,14598.0,1624900.0
생리식염수,15680.0,1725.0,0.1100127551020408,13902.0,452002.0
눈온열안대,1020.0,41798.0,40.97843137254902,16336.0,1652841.0
식염수,14400.0,9495.0,0.659375,15578.0,1481422.0
안경세척기,4130.0,90689.0,21.95859564164649,43054.0,2197050.0
보스톤심플러스,2970.0,927.0,0.3121212121212121,31869.0,1728469.0
에이오셉,3100.0,358.0,0.1154838709677419,21040.0,97809.0
리뉴,11670.0,107864.0,9.242844901456726,13859.0,98528.0
무지외반증교정기,14060.0,12519.0,0.890398293029872,19061.0,4302813.0
전동발각질제거기,2350.0,37617.0,16.00723404255319,27596.0,9150193.0
발뒤꿈치각질제거,9390.0,78099.0,8.317252396166134,11025.0,4064325.0
지압슬리퍼,20670.0,129442.0,6.262312530237058,14912.0,1814865.0
손마사지기,24270.0,36044.0,1.485125669550886,68691.0,174650.0
눈마사지기,22440.0,86278.0,3.844830659536542,48801.0,280225.0
괄사마사지기,13160.0,71580.0,5.439209726443769,38573.0,2138422.0
승모근마사지기,6150.0,62340.0,10.13658536585366,48500.0,2450406.0
바디괄사,2710.0,43021.0,15.87490774907749,22590.0,806600.0
슈케이스,6470.0,42841.0,6.621483771251932,9517.0,1179214.0
섬유탈취제,19960.0,97569.0,4.888226452905812,10119.0,2622724.0
곰팡이제거제,22210.0,125925.0,5.669743358847367,10898.0,5285145.0
바퀴벌레약,17420.0,33944.0,1.948564867967853,16079.0,4444388.0
옷장방향제,5110.0,43972.0,8.60508806262231,11195.0,1345575.0
피톤치드스프레이,5350.0,19994.0,3.737196261682243,17691.0,7626629.0
실내공기정화식물,3620.0,76796.0,21.21436464088398,20129.0,1326630.0
