relative_keyword,total_search,total_store_count,competitive_rate
남자토트백,12340.0,842986.0,68.31
나이키크로스백,19430.0,28267.0,1.45
남자슬링백,9640.0,1154562.0,119.77
남성크로스백,8260.0,3945536.0,477.67
서류가방,18130.0,999318.0,55.12
로우로우백팩,17020.0,4672.0,0.27
미니캐리어,18670.0,375487.0,20.11
기내용캐리어,61040.0,993836.0,16.28
16인치캐리어,8150.0,60770.0,7.46
내셔널지오그래픽캐리어,59880.0,8521.0,0.14
캐리어,234800.0,5827726.0,24.82
여권케이스,40760.0,402976.0,9.89
여행용캐리어,37590.0,2349831.0,62.51
보스턴백,49810.0,1540086.0,30.92
아메리칸투어리스터캐리어,60460.0,97720.0,1.62
샘소나이트캐리어,56800.0,82857.0,1.46
28인치캐리어,30110.0,100743.0,3.35
20인치캐리어,26840.0,281893.0,10.5
여행용파우치,19040.0,1144697.0,60.12
미치코런던캐리어,870.0,341.0,0.39
무민캐리어,380.0,623.0,1.64
캐리어세트,10900.0,287341.0,26.36
캐리어24인치,29620.0,150731.0,5.09
캐리어커버,18380.0,285801.0,15.55
밤켈캐리어,23110.0,5.0,0.0
여행가방,37120.0,6735131.0,181.44
남자지갑,38030.0,2307049.0,60.66
지갑,50680.0,13909925.0,274.47
카드지갑,127200.0,5724453.0,45.0
여자카드지갑,25600.0,883905.0,34.53
샤넬카드지갑,59290.0,19377.0,0.33
남자카드지갑,23700.0,765776.0,32.31
명함지갑,22780.0,1850603.0,81.24
여성반지갑,11400.0,1122938.0,98.5
구찌카드지갑,42770.0,79817.0,1.87
셀린느카드지갑,67400.0,19828.0,0.29
루이비통지갑,66920.0,106113.0,1.59
루이비통카드지갑,49450.0,31431.0,0.64
동전지갑,20080.0,930279.0,46.33
루이까또즈카드지갑,12530.0,12726.0,1.02
디올카드지갑,63370.0,25762.0,0.41
여성지갑,13080.0,3465615.0,264.96
반지갑,13830.0,2215211.0,160.17
루이까또즈지갑,20470.0,34407.0,1.68
구찌지갑,50910.0,188176.0,3.7
샤넬지갑,48770.0,36253.0,0.74
남자벨트,35090.0,3205463.0,91.35
남성벨트,15100.0,3205464.0,212.28
여성벨트,9430.0,3469442.0,367.92
몽블랑벨트,30140.0,20062.0,0.67
셀린느벨트,39410.0,16297.0,0.41
벨트,29720.0,12131378.0,408.19
여자벨트,9050.0,3469442.0,383.36
페라가모벨트,26230.0,91707.0,3.5
닥스벨트,11440.0,40343.0,3.53
구찌벨트,23950.0,74608.0,3.12
정장벨트,4030.0,1532201.0,380.2
듀퐁벨트,3930.0,16789.0,4.27
헤지스벨트,3890.0,11695.0,3.01
멜빵,9750.0,1515767.0,155.46
가죽공방벨트,90.0,2551.0,28.34
리바이스벨트,2530.0,12460.0,4.92
루이비통벨트,18650.0,17260.0,0.93
허리띠,7030.0,758179.0,107.85
에르메스벨트,24810.0,11762.0,0.47
톰포드벨트,7070.0,42035.0,5.95
나이키모자,41640.0,180855.0,4.34
버킷햇,48520.0,2590110.0,53.38
비니,85900.0,3033768.0,35.32
MLB모자,60050.0,317962.0,5.29
모자,82760.0,23797656.0,287.55
캡모자,27720.0,9722063.0,350.72
볼캡,18540.0,2271294.0,122.51
벙거지모자,29410.0,2020222.0,68.69
귀마개,111200.0,1423092.0,12.8
이미스모자,70730.0,4277.0,0.06
방한모자,34990.0,1157211.0,33.07
겨울모자,59930.0,3512876.0,58.62
야구모자,10620.0,5154280.0,485.34
뉴에라모자,18220.0,606321.0,33.28
폴로모자,26720.0,77871.0,2.91
여성벙거지모자,10250.0,940022.0,91.71
군밤모자,33800.0,254966.0,7.54
썬캡,6760.0,2070302.0,306.26
헬렌카민스키,42440.0,67114.0,1.58
화이트샌즈,16300.0,34556.0,2.12
장갑,104200.0,10680754.0,102.5
겨울장갑,26320.0,1851810.0,70.36
방한장갑,39900.0,1304106.0,32.68
핸드워머,29520.0,446312.0,15.12
비비안웨스트우드장갑,17970.0,6416.0,0.36
가죽장갑,17740.0,855373.0,48.22
스마트폰터치장갑,10320.0,412202.0,39.94
여성장갑,14700.0,2241849.0,152.51
벙어리장갑,21470.0,257493.0,11.99
어그장갑,12880.0,13307.0,1.03
여성가죽장갑,7140.0,275775.0,38.62
니트장갑,8360.0,554694.0,66.35
요술장갑,8110.0,26338.0,3.25
작업용팔토시,3230.0,85876.0,26.59
질스튜어트장갑,10400.0,10839.0,1.04
남자가죽장갑,7890.0,374889.0,47.51
터치장갑,8710.0,1349118.0,154.89
기모장갑,6310.0,360648.0,57.15
캐시미어장갑,8450.0,74153.0,8.78
닥스장갑,9090.0,44351.0,4.88
안경테,43540.0,2278140.0,52.32
안경,70280.0,4331649.0,61.63
뿔테안경,30380.0,225256.0,7.41
선글라스,54640.0,5299512.0,96.99
오클리선글라스,33460.0,352874.0,10.55
블루라이트차단안경,31640.0,126860.0,4.01
티타늄안경테,18770.0,244454.0,13.02
톰포드선글라스,10750.0,73392.0,6.83
편광선글라스,11420.0,757254.0,66.31
레이벤선글라스,15100.0,198522.0,13.15
안경줄,6040.0,159289.0,26.37
크롬하츠안경,12690.0,1163.0,0.09
젠틀몬스터선글라스,40980.0,7384.0,0.18
구찌선글라스,12560.0,159256.0,12.68
안경코받침,10980.0,59158.0,5.39
안경닦이,11270.0,58516.0,5.19
안경케이스,6110.0,381769.0,62.48
구찌안경테,7330.0,73977.0,10.09
셀린느선글라스,18980.0,23983.0,1.26
무테안경,10350.0,87186.0,8.42
머리띠,30490.0,3895417.0,127.76
집게핀,34530.0,1267901.0,36.72
헤어밴드,30530.0,3895415.0,127.59
머리끈,17450.0,797432.0,45.7
헤어핀,15270.0,3062218.0,200.54
머리핀,25000.0,3062217.0,122.49
가발,27980.0,1802175.0,64.41
리본핀,13270.0,612955.0,46.19
비녀,10220.0,134550.0,13.17
앞머리가발,18050.0,195485.0,10.83
헤어집게핀,6750.0,1151202.0,170.55
바나나핀,4520.0,70577.0,15.61
미니집게핀,5100.0,111205.0,21.8
부분가발,8720.0,234212.0,26.86
정수리가발,7160.0,100342.0,14.01
곱창머리끈,7310.0,436273.0,59.68
리본집게핀,4520.0,219750.0,48.62
벨벳머리띠,5030.0,71296.0,14.17
남자가발,7930.0,171737.0,21.66
벨벳리본핀,3950.0,38043.0,9.63
머플러,121400.0,4172917.0,34.37
목도리,217200.0,4172846.0,19.21
키링,109600.0,4898396.0,44.69
닥스스카프,29680.0,82257.0,2.77
스카프,96600.0,4685549.0,48.5
버버리스카프,49050.0,78781.0,1.61
쁘띠스카프,21480.0,499712.0,23.26
넥타이,35910.0,2370617.0,66.02
인형키링,30270.0,527855.0,17.44
우산,40950.0,4807742.0,117.41
압박스타킹,45330.0,247009.0,5.45
스타킹,44470.0,1868586.0,42.02
장우산,16730.0,737887.0,44.11
구찌스카프,55340.0,44118.0,0.8
캐시미어머플러,76100.0,403241.0,5.3
실크스카프,13380.0,322359.0,24.09
구찌머플러,52790.0,25766.0,0.49
젤리캣키링,35510.0,3822.0,0.11
폴로목도리,86790.0,25828.0,0.3
버버리머플러,70040.0,47340.0,0.68
지샥,32050.0,285441.0,8.91
수능시계,73110.0,94219.0,1.29
카시오시계,48650.0,856211.0,17.6
까르띠에시계,91150.0,27991.0,0.31
시계,376900.0,18529798.0,49.16
손목시계,23740.0,2647485.0,111.52
오메가시계,47650.0,79130.0,1.66
세이코시계,22410.0,320926.0,14.32
카시오수능시계,21000.0,23780.0,1.13
프레드릭콘스탄트,24610.0,22349.0,0.91
로렉스남자시계,23880.0,14991.0,0.63
롤렉스,102000.0,61514.0,0.6
롤렉스시계,51930.0,58048.0,1.12
남자시계,19620.0,3228434.0,164.55
로즈몽시계,12160.0,17642.0,1.45
카시오,31900.0,1000730.0,31.37
카시오전자시계,10000.0,80947.0,8.09
로렉스여성시계,14100.0,6774.0,0.48
세이코,23850.0,370595.0,15.54
구찌시계,23190.0,71921.0,3.1
순금,27210.0,816992.0,30.03
골드바3.75,3200.0,14244.0,4.45
순금골드바,4230.0,71671.0,16.94
금,84900.0,20809499.0,245.11
골드바,57040.0,122178.0,2.14
골드바100G,9520.0,1000.0,0.11
골드바37.5,6090.0,4237.0,0.7
순금바,2190.0,76678.0,35.01
결혼기념일선물,38650.0,105148.0,2.72
한국금거래소,428000.0,12521.0,0.03
골드바1000G,6960.0,196.0,0.03
미니골드바,3070.0,1987.0,0.65
골드바11.25,1080.0,10949.0,10.14
순금골드바3.75G,1350.0,14202.0,10.52
실버바,5450.0,6521.0,1.2
골드바1G,1410.0,3749.0,2.66
골드바50G,1050.0,707.0,0.67
금괴,6160.0,20219.0,3.28
골드바3.75G,910.0,14246.0,15.65
금수저,29600.0,155403.0,5.25
마데카크림,93710.0,34054.0,0.36
키엘수분크림,57760.0,4549.0,0.08
달바미스트세럼,67450.0,19247.0,0.29
인셀덤,107500.0,42772.0,0.4
AHC아이크림,72310.0,29339.0,0.41
피지오겔페이셜크림,40220.0,7054.0,0.18
수분크림,57270.0,623367.0,10.88
라로슈포제시카플라스트밤B5,54920.0,3740.0,0.07
피어니앰플,66090.0,423.0,0.01
카르노신세럼,64590.0,1416.0,0.02
설화수,107000.0,60048.0,0.56
설화수자음2종,41990.0,3723.0,0.09
피지오겔,89700.0,60583.0,0.68
아이크림,32940.0,518895.0,15.75
에스티로더갈색병,60060.0,3535.0,0.06
닥터지블랙스네일크림,33230.0,12164.0,0.37
닥터지레드블레미쉬클리어크림,36210.0,7059.0,0.19
클라란스넥크림,24110.0,1142.0,0.05
가히멀티밤,36640.0,12301.0,0.34
인셀덤화장품,42360.0,30238.0,0.71
선크림,46120.0,694101.0,15.05
헤라썬크림,22530.0,9645.0,0.43
닥터지선크림,28940.0,13358.0,0.46
