relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
우거지,17450.0,35440.0,2.03,17967.0,589674.0,3,12,20,5,14,4,16,6,24742,618
엽서청첩장,1030.0,102978.0,99.98,10798.0,589718.0,10,4,2,3,32,1,6,1,4045,101
나이키크로스백,19290.0,28214.0,1.46,31818.0,589730.0,1,6,25,5,21,6,8,5,11167,279
고양이헤드셋,1980.0,37110.0,18.74,41483.0,589851.0,24,3,3,10,37,0,3,0,1184,29
가재수건,1950.0,36726.0,18.83,9054.0,589873.0,2,6,8,2,4,3,19,14,71996,1799
스탠딩지퍼백,2040.0,31679.0,15.53,9479.0,589931.0,6,7,16,4,8,4,16,12,69935,1748
랩시리즈,14860.0,20773.0,1.4,52208.0,589953.0,2,0,11,5,12,7,15,6,23042,576
GNC밀크씨슬,3150.0,11574.0,3.67,51254.0,590101.0,5,1,11,14,13,2,19,6,36489,912
전기멀티쿠커,1340.0,105045.0,78.39,53410.0,590116.0,7,5,12,10,25,4,9,2,9437,235
레미콘,20350.0,58561.0,2.88,19772.0,590170.0,1,2,11,0,26,2,7,5,11222,280
어린숨마스크,3660.0,6749.0,1.84,24132.0,590206.0,0,10,10,2,10,4,17,9,59534,1488
건고추,5400.0,11726.0,2.17,15068.0,590263.0,7,6,17,10,9,2,20,9,27034,675
생선구이팬,5410.0,50508.0,9.34,35145.0,590734.0,8,7,15,9,18,6,13,3,12129,303
화구통,3600.0,75172.0,20.88,11747.0,590766.0,1,1,1,0,30,2,7,1,5101,127
불스원방향제,5600.0,32026.0,5.72,10005.0,590830.0,2,4,8,11,9,3,20,8,54486,1362
이유식도마,3650.0,46077.0,12.62,15164.0,590836.0,1,4,16,1,10,5,18,7,44082,1102
핫초코,22100.0,70381.0,3.18,9249.0,590982.0,0,0,8,8,14,1,18,7,20130,503
학꽁치포,2570.0,1837.0,0.71,16708.0,591285.0,13,10,5,12,24,9,5,2,6343,158
상황버섯,19690.0,25107.0,1.28,59088.0,591324.0,12,4,14,3,18,3,14,5,15967,399
물미역헤어팩,1400.0,1227.0,0.88,39469.0,591615.0,9,0,6,23,29,4,4,3,23736,593
캐틀벨,3510.0,64666.0,18.42,22463.0,591725.0,1,5,4,1,16,5,13,6,20466,511
커틀벨,2720.0,64666.0,23.77,22424.0,591725.0,1,5,4,1,16,5,13,6,20468,511
연근,20400.0,63613.0,3.12,13139.0,592150.0,6,19,9,6,6,4,16,14,47595,1189
아나고회,8980.0,1695.0,0.19,38025.0,592593.0,13,8,4,15,27,2,10,1,5915,147
베타어항,3250.0,64998.0,20.0,21232.0,592623.0,5,3,17,1,9,6,21,4,14280,357
꼬시래기,20770.0,4821.0,0.23,9957.0,592749.0,5,9,14,12,10,4,17,9,35765,894
슈너글,6410.0,406.0,0.06,49626.0,592915.0,3,5,3,12,28,5,4,3,14762,369
기계식계산기,2880.0,27172.0,9.43,22384.0,593044.0,7,9,7,0,26,3,11,0,2747,68
