relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
커클랜드프로틴바,3,3,19,11,19,4,13,4,27134,678
축구필드장갑,1,8,28,1,19,7,11,3,9994,249
신세계상품권구매,2,5,2,25,23,3,6,8,42862,1071
SSG상품권,3,6,2,26,22,2,8,8,35865,896
듀라셀건전지,1,1,18,9,9,7,16,8,111079,2776
메쉬수영가방,5,7,9,0,23,4,11,2,7139,178
여행용키트,6,7,1,3,32,3,5,0,2201,55
옥스포드블럭,5,1,5,3,27,6,7,0,3607,90
청란,18,11,11,0,9,11,16,4,13427,335
푸마풋살화,2,4,14,4,38,1,1,0,525,13
러닝장갑,2,2,24,6,20,8,10,2,8142,203
지브리LP,1,5,6,0,35,3,2,0,652,16
유기농양배추즙,6,4,4,5,5,2,12,21,166135,4153
바위굴,8,13,13,6,26,3,6,5,12435,310
미담기프트,4,0,6,0,4,0,4,2,5751,575
아큐첵퍼포마,2,5,14,15,11,5,15,9,29477,736
스탠리빨대,9,6,13,1,21,4,10,5,13018,325
옷정리트레이,5,14,15,5,14,1,13,12,35873,896
록시땅세트,5,0,8,12,24,4,11,1,7005,175
온수매트커버,6,3,5,3,21,2,12,5,16149,403
사조참치,1,2,19,3,15,0,14,11,105588,2639
곤드레,7,9,18,6,6,5,19,10,115806,2895
비오타민,4,1,1,31,31,1,6,2,24928,623
입큰,0,8,2,13,11,7,14,8,29012,725
탄성코트,16,2,7,14,33,0,6,1,3456,86
초등학생시계,7,11,3,1,20,6,9,5,24089,602
필사노트,6,9,6,3,23,2,11,4,13919,347
인생마스크,10,1,21,7,21,3,10,6,58811,1470
하트빗,6,5,9,19,35,1,3,1,7585,189
펑크린,1,4,17,14,9,5,17,9,50966,1274
질레트쉐이빙젤,2,2,21,7,10,4,16,10,46961,1174
레가리스,0,3,17,14,29,1,7,3,7526,188
창틀건조대,3,3,5,1,29,4,6,1,4081,102
자몽청,10,5,16,6,9,5,17,9,29643,741
우레탄폼건,3,1,11,2,25,5,8,2,8889,222
독특한명함,14,11,15,0,11,7,16,6,61280,1532
유아헤드셋,9,6,15,10,28,0,9,3,16514,412
네임스탬프,2,5,17,1,9,4,14,13,62039,1550
실리콘도마,2,1,13,3,14,5,15,6,25802,645
삼성차량용충전기,4,1,5,6,23,1,15,1,8711,217
쉬크면도날,3,8,10,10,14,7,13,6,23623,590
카람빗,5,6,2,1,34,3,3,0,1483,37
우르오스스킨로션,1,5,15,18,19,6,8,7,39754,993
벨버드배변패드,0,2,15,14,7,6,17,10,185885,4647
슈가버블주방세제,1,0,8,17,14,5,14,7,32829,820
문교오일파스텔,1,2,4,0,28,4,3,5,16495,412
탯줄,18,7,1,0,13,5,19,3,11187,279
땅콩호박,7,3,1,29,39,1,0,0,164,4
미아방지GPS,15,1,0,24,36,3,1,0,495,12
하몽,0,2,4,1,25,7,6,2,7438,185
매트리스청소,25,0,13,2,34,1,5,0,2703,67
뿌리다시마,7,12,13,8,10,3,21,6,30176,754
들기름막국수,1,1,5,2,24,1,12,3,19200,480
강아지일회용신발,9,7,8,0,16,1,17,6,30146,753
백합조개,2,8,19,11,10,5,16,9,65855,1646
위고,3,10,21,0,21,5,9,5,21350,533
질레트쉐이빙폼,1,1,17,5,6,2,20,12,57351,1433
유모차컵홀더,5,4,8,1,13,6,15,6,28987,724
아기샤워기,5,3,4,5,25,4,9,2,13119,327
가정용실링기,1,5,1,0,30,0,6,4,24403,610
여아타이즈,3,22,10,0,12,2,16,10,40440,1011
켐벨포도,8,6,5,21,36,2,2,0,673,16
아이브도무송스티커,11,5,0,13,38,2,0,0,256,6
아이브랜덤박스,12,5,0,16,40,0,0,0,192,4
솔가엽산400,12,7,9,10,30,2,4,4,42115,1052
컨디션스틱,5,6,10,18,29,1,7,3,10340,258
꽈추형토마토주스,10,10,18,2,29,6,5,0,2431,60
어부바아기띠,18,5,1,1,35,0,2,3,9762,244
닌텐도스위치악세사리,1,9,18,7,3,8,23,6,89584,2239
휴대폰망원렌즈,8,13,13,5,27,2,11,0,4175,104
왕리본핀,2,9,15,0,6,2,20,12,37055,926
아기붕붕카,1,0,15,0,25,4,10,1,6085,152
미즈노배구화,3,0,3,1,37,0,3,0,690,17
주니어정장,5,5,18,1,29,1,10,0,3586,89
이유식스파츌라,2,3,4,3,24,3,10,3,23568,589
아이닉에어프라이어,17,0,4,17,31,2,2,5,54325,1358
미스터그린,3,14,12,11,23,4,11,2,14503,362
청양농부방앗간,3,12,2,5,18,2,1,1,1636,74
CFX-G100D,3,4,25,1,2,3,19,16,64128,1603
튜브공기주입기,3,3,9,2,20,5,9,6,12836,320
강아지미용거치대,5,5,1,0,35,0,4,1,2940,73
갤럭시탭A8케이스,0,1,12,2,12,3,20,5,34163,854
노스페이스맨투맨,0,0,4,2,39,0,1,0,501,12
가죽염색약,4,8,9,1,19,3,13,5,35732,893
자동차열선시트,7,15,9,4,16,4,15,5,12523,313
두피마사지기,9,7,8,8,16,2,18,4,50308,1257
하이포닉,0,2,11,2,11,5,12,12,41388,1034
입큰파우더팩트,0,9,2,13,13,7,12,8,28645,716
카니발렌트,22,8,3,7,40,0,0,0,67,1
미즈노사이클론스피드4,1,1,12,3,35,3,2,0,1498,37
이소부탄가스,8,8,18,6,22,4,7,7,30710,767
널리브,6,0,3,30,37,1,2,0,835,20
아이폰15프로맥스필름,0,2,10,4,6,6,21,7,119482,2987
블렌더3D,8,2,2,9,20,5,11,4,14101,352
소토토치,3,2,10,0,22,4,13,1,8587,214
면도경,1,0,4,0,21,6,11,2,5975,149
헤라실키스테이파운데이션,3,6,11,19,32,2,5,1,15761,394
나고야지브리파크예약,0,0,5,18,22,0,1,0,383,16
안동소주일품,3,0,7,25,28,2,8,2,10728,268
오아구강세정기,1,0,2,24,15,5,13,7,51298,1282
운남성보이차,4,2,4,0,25,4,7,4,15315,382
강산연블랙,3,2,10,24,35,1,4,0,1404,35
아라이바람막이,7,11,3,0,34,1,5,0,2070,51
티아시아커리,1,2,15,11,18,1,11,10,87576,2189
포크레인장난감,6,1,18,0,15,5,12,8,23535,588
웰치스,0,2,11,7,10,6,14,10,58860,1471
종가집백김치,4,1,5,26,23,5,10,2,7575,189
주니어축구화,11,5,16,1,27,4,8,1,5949,148
유아책꽂이,3,1,11,0,28,3,5,4,9564,239
아기입욕제,3,6,11,1,8,2,19,11,41213,1030
라탄빨래바구니,3,1,10,1,13,6,16,5,35811,895
유아페이크목폴라,5,10,11,0,17,6,12,5,34160,854
멀티시거잭,0,2,6,1,12,4,15,9,34834,870
지라그라타,1,0,0,1,1,1,0,0,77,38
아그리폼지라그라타그라나파다노,1,0,0,1,1,1,0,0,77,38
말차가루,7,6,15,12,18,1,16,5,23436,585
스파클라,2,9,7,0,23,1,8,8,71745,1793
빌레로이앤보흐와인잔,0,3,4,5,22,6,6,6,28927,723
멸치젓갈,15,11,10,4,21,7,8,4,10669,266
스파크에어컨필터,5,13,17,1,5,7,24,4,15812,395
모래멍,0,1,0,0,30,4,6,0,3757,93
한우육포,10,0,6,1,31,3,5,1,2818,70
오토바이우주복,1,2,2,2,39,1,0,0,313,7
젤로팟,10,3,15,12,28,3,7,2,7767,194
뿔소라,6,6,21,7,4,5,21,10,57627,1440
청개비,7,18,13,2,10,5,18,7,19012,475
크레모아V1040,9,1,19,10,23,8,8,1,5317,132
채우다모1987,1,2,13,23,38,0,2,0,616,15
저스트쉴드,0,0,40,0,11,11,16,2,8255,206
뜰채프레임,0,1,5,0,28,2,9,1,4223,105
포두부,2,3,15,3,12,6,15,7,69637,1740
토종생강,9,7,16,8,20,4,11,5,24061,601
유니클로바디쉐이퍼,8,1,3,7,39,0,1,0,183,4
홀리미코쌍꺼풀레이스,1,2,2,31,26,4,9,1,5385,134
헤모키즈,5,1,12,21,34,1,4,1,31577,789
닥터라인헤모키즈,12,2,10,15,34,1,4,1,31546,788
오이김치,9,4,19,3,14,5,13,8,33949,848
발크림,7,8,14,6,9,4,13,14,54997,1374
예쁜성경책,7,6,3,12,26,5,6,3,7709,192
후지C200,8,6,4,21,30,4,2,4,12607,315
요플레만들기,8,13,14,5,28,3,6,3,8100,202
저온압착들기름,10,9,14,3,3,9,25,3,13660,341
애플수박,13,4,8,15,30,0,8,2,7390,184
골프방한마스크,3,14,12,2,16,4,15,5,43088,1077
실곤약,0,2,2,2,19,2,11,8,31087,777
미니라디에이터,5,10,10,15,22,1,13,4,27903,697
외부여과기,0,1,8,4,22,4,13,1,5647,141
패딩우주복,2,3,13,1,33,3,3,1,3826,95
산리오마스크,7,10,8,12,23,3,12,2,16329,408
모두싹,2,0,10,1,25,6,7,2,6328,158
목포쫀드기,10,6,8,15,28,5,4,3,9846,246
꽃상추,9,4,18,9,19,4,11,6,25395,634
청오이,2,12,13,13,26,5,6,3,7330,183
글루코사민콘드로이친,7,9,15,7,21,6,9,4,16352,408
나이키감마포스,5,1,13,13,33,2,5,0,2713,67
두돌장난감,2,12,26,0,17,4,12,7,20814,520
룰렛판,0,0,3,0,37,1,2,0,782,19
돌출간판,8,4,11,0,22,1,15,2,6771,169
스텐다라이,2,2,8,1,22,5,11,2,8424,210
절임알타리무,11,2,9,6,31,3,6,0,2658,66
겉절이양념,3,5,5,1,22,4,9,5,13262,331
에어팟맥스케이스,14,5,15,3,21,2,12,5,21853,546
쪽쪽이클립,3,13,13,7,9,2,16,13,90494,2262
파바빈,3,3,23,9,12,5,21,2,16281,407
호보니치커버,11,2,15,2,34,3,3,0,1242,31
걷기보조기구,4,2,1,1,36,2,1,1,18263,456
축구헤어밴드,1,0,7,2,34,2,2,2,7988,199
애터미치약,8,3,8,18,21,3,8,8,42901,1072
대문도어락,6,2,4,28,38,2,0,0,207,5
하코인두기,1,0,0,0,36,3,1,0,610,15
오돌뼈,1,6,5,4,15,5,11,9,45840,1146
