relative_keyword,avg_sale
듀얼센스,1333194.0
닌텐도스위치조이콘,1855910.0
온열마우스패드,488509.0
15인치노트북파우치,1881520.0
16인치노트북파우치,1735034.0
삼성노트북충전기,678766.0
17인치노트북가방,1079264.0
14인치노트북파우치,408043.0
17인치노트북파우치,1012804.0
아이패드에어5케이스,1642475.0
짭플펜슬,1928181.0
아이패드9세대케이스,1321040.0
애플펜슬케이스,384900.0
애플펜슬펜촉,1930618.0
갤럭시탭S9플러스케이스,1914947.0
갤럭시탭S9울트라케이스,1957741.0
아이패드미니6케이스,610116.0
갤럭시탭S7FE케이스,2662054.0
갤럭시탭S9케이스,3664995.0
갤럭시탭S6라이트케이스,1209546.0
듀얼모니터받침대,1346043.0
카멜마운트,1180045.0
카멜모니터암,1220924.0
싱글모니터암,1426225.0
모니터받침,331109.0
NBH100,
높이조절모니터받침대,912817.0
NB모니터암,311321.0
다이소모니터받침대,76146.0
데스커모니터받침대,3970716.0
앱코K660,436319.0
G304,1757810.0
브리츠스피커,814693.0
브리츠사운드바,675663.0
샌디스크USB,2266481.0
광HDMI케이블,186849.0
아이피타임공유기,880524.0
IPTIME공유기,880524.0
랜테스터기,202490.0
A2004SE,271676.0
A604SE,69509.0
AX2004,883525.0
굿노트다이어리,178043.0
마이크로소프트365,1813479.0
프로크리에이트브러쉬,557027.0
이케아수납장,709450.0
이케아선반,869034.0
교구장,8315989.0
침대안전가드,2521757.0
아기침대가드,3276435.0
아기행거,605511.0
본베베침대가드,42034650.0
콤비락,725.0
라지킹침구세트,1027914.0
목화솜이불,1855878.0
알레르망베개,687166.0
요솜,875190.0
헬렌스타인베개,1092666.0
빨아쓰는규조토발매트,944777.0
워셔블러그,1921272.0
우드블라인드,2494390.0
나비주름커튼,2334668.0
작은창커튼,778177.0
모던하우스커튼,737754.0
누빔원단,68770.0
양말목,562744.0
자이언트얀,905189.0
목도리뜨개질,141459.0
벨보아,540576.0
니트컨테이너,
바라클라바뜨기,108727.0
힙분유,8804925.0
앱솔루트명작,4081225.0
앱솔루트명작1단계,466725.0
압타밀,9193529.0
산양분유,5440065.0
아이엠마더1단계,2063896.0
아이엠마더,2077836.0
액상분유,4041846.0
앱솔루트센서티브,193656.0
명작1단계,559270.0
위드맘1단계,95578.0
앱솔루트명작2단계,6876322.0
앱솔루트센서티브1단계,212175.0
천기저귀,1139206.0
하기스네이처메이드1단계,5061096.0
하기스네이처메이드2단계,5460309.0
팸퍼스,68796548.0
