relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
전동연필깍이,1370.0,35868.0,26.18,25436.0,565412.0,1,0,2,0,22,7,9,2,8193,204,31,3,6,0
전동연필깎이,1800.0,35868.0,19.93,25394.0,565412.0,1,1,2,1,19,8,10,3,9537,238,31,3,6,0
발해먹,1040.0,53271.0,51.22,10379.0,565491.0,1,2,0,0,31,2,6,1,3995,99,34,4,2,0
막국수,28470.0,28542.0,1.0,11820.0,566294.0,0,1,8,2,21,1,15,3,22644,566,33,2,5,0
요넥스배드민턴가방,3920.0,45734.0,11.67,55841.0,567065.0,0,4,2,0,15,10,15,0,4254,106,29,5,6,0
저주파마사지,1680.0,85609.0,50.96,35321.0,568645.0,4,3,4,1,15,3,16,6,36298,907,31,3,6,0
키즈이어머프,1320.0,6008.0,4.55,27458.0,568820.0,7,1,7,1,37,2,1,0,929,23,33,3,4,0
티즐제로,2700.0,8003.0,2.96,14398.0,568998.0,0,0,7,1,31,1,6,2,12667,316,37,1,2,0
여행용세면도구파우치,1060.0,87764.0,82.8,6928.0,569056.0,3,5,9,0,17,3,17,3,10119,252,20,6,14,0
인형만들기키트,2280.0,75756.0,33.23,12197.0,569407.0,13,3,7,1,25,3,8,4,31294,782,19,3,17,1
강아지어질리티,1030.0,16002.0,15.54,36783.0,569823.0,6,3,1,0,34,1,5,0,1759,43,32,1,7,0
치아접착제,1020.0,5514.0,5.41,17840.0,570715.0,5,2,0,2,36,2,2,0,847,21,39,0,1,0
라이프타임테이블,3250.0,3242.0,1.0,73960.0,570732.0,13,5,6,1,33,2,5,0,2121,53,30,3,7,0
절구통,3560.0,43956.0,12.35,11866.0,570783.0,0,0,3,0,33,2,3,2,3832,95,37,2,1,0
휴비딕체온계,3640.0,2291.0,0.63,51290.0,571375.0,2,1,3,2,25,2,8,5,37546,938,38,0,2,0
농구공가방,2160.0,104450.0,48.36,12531.0,572530.0,1,4,4,0,19,4,16,1,7329,183,32,3,5,0
복싱줄넘기,1170.0,40349.0,34.49,9521.0,573770.0,1,6,2,1,24,1,10,5,24832,620,35,1,4,0
어그방수스프레이,19620.0,655.0,0.03,18984.0,574198.0,13,8,6,1,34,1,5,0,3004,75,32,5,3,0
쌀세척볼,2260.0,33109.0,14.65,9841.0,574893.0,7,3,8,2,17,7,10,6,13338,333,24,3,11,2
수능선물세트,16980.0,24010.0,1.41,20155.0,575234.0,4,6,4,1,28,2,9,1,5942,148,34,3,3,0
빅사이즈비키니,1590.0,59804.0,37.61,29486.0,577846.0,3,4,7,2,34,0,4,2,9791,244,31,2,6,1
거북이밥,1370.0,12746.0,9.3,7034.0,578790.0,0,2,9,2,17,2,19,2,14190,354,38,1,1,0
발디딤대,1360.0,46869.0,34.46,18506.0,579048.0,2,1,7,1,18,9,9,4,25609,640,30,3,7,0
부분과전체,2160.0,14945.0,6.92,49080.0,579452.0,4,0,5,2,35,1,4,0,1491,37,37,2,1,0
간이신발장,1130.0,68585.0,60.69,20051.0,579937.0,1,4,6,1,30,4,4,2,58619,1465,31,5,4,0
아기토퍼,4810.0,18308.0,3.81,65320.0,579975.0,0,6,6,1,13,5,19,3,21201,530,21,5,14,0
