cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000035,오토바이/스쿠터,전기스쿠터,전기오토바이,스쿠터,오토바이헬멧,오토바이토시,전동스쿠터,오토바이방한토시,오토바이장갑,혼다오토바이,오토바이,슈퍼커브,헬멧,탑박스,오토바이블랙박스,오토바이방한장갑,오토바이방한복,바이크장갑,존테스350d,홍진헬멧,전기바이크
50000036,축구,풋살화,축구화,축구공,미즈노풋살화,나이키풋살화,아디다스풋살화,골키퍼장갑,미즈노축구화,나이키축구화,키즈풋살화,아디다스축구화,더플백,헬스가방,축구유니폼,나이키더플백,토트넘유니폼,운동가방,축구바람막이,이강인유니폼,축구양말
50000037,야구,야구글러브,야구화,배팅장갑,글러브,유소년야구화,야구바람막이,야구바지,야구풀오버,야구배트,포수미트,투수글러브,인조잔디야구화,야구공,야구가방,내야글러브,야구공케이스,야구배팅장갑,나이키야구화,인조잔디화,외야글러브
50000038,농구,농구화,농구공,나이키농구화,에어조던1로우,커리11,축구공가방,언더아머농구화,사브리나1,농구골대,조던,나이키업템포,조던1로우,농구공가방,업템포,커리농구화,루카1,르브론20,윌슨농구공,줌프릭5,조던농구화
50000039,배구,배구화,아식스배구화,미즈노배구화,피구공,배구공,써코니재즈,아식스스카이엘리트,아식스넷버너발리스틱,미카사배구공,나이키배구화,스타피구공,배구화추천,스타배구공,배구화아식스,아식스젤택틱,배드민턴화,빅발리볼,트라이엄프21,미즈노모멘텀3,스타피구공4호
50000040,탁구,탁구화,미즈노탁구화,탁구라켓,탁구채,탁구공,탁구가방,탁구대,탁구러버,엑시옴탁구복,탁구복상의,탁구라켓케이스,버터플라이탁구복,아식스탁구화,탁구유니폼,엑시옴티셔츠,테너지05,탁구네트,미즈노웨이브드라이브9,버터플라이탁구화,리닝탁구화
50000041,배드민턴,배드민턴화,배드민턴라켓,배드민턴가방,미즈노배드민턴화,돌아오는셔틀콕,요넥스배드민턴화,배드민턴의류,셀프배드민턴,요넥스티셔츠,요넥스바람막이,셔틀콕,요넥스,kbb79,배드민턴그립,배드민턴신발,요넥스배드민턴라켓,혼자배드민턴,배드민턴티셔츠,요넥스가방,spectrum
50000042,테니스,테니스화,테니스가방,테니스라켓,아식스테니스화,나이키테니스화,윌슨테니스가방,테니스공,아디다스테니스화,테니스백팩,테니스그립,요넥스테니스화,윌슨테니스라켓,테니스장갑,아식스젤레졸루션9,테니스화여성,키모니그립,아식스ff3,테니스라켓가방,여성테니스화,테니스복
50000043,스쿼시,스쿼시라켓,테크니화이버스쿼시라켓,라테스민턴,던롭스쿼시라켓,헤드스쿼시라켓,스쿼시공,프린스스쿼시라켓,헤로우라켓,윌슨스쿼시라켓,헤로우스쿼시라켓,스쿼시라켓110,스쿼시스트링,스쿼시볼,테크니화이버,스쿼시라켓추천,살밍스쿼시라켓,테크니화이버스쿼시,테크니화이버에어샤프트,헤로우아이나3,초보스쿼시라켓
50000044,족구,족구화,족구공,스타족구화,조이킥족구화,족구네트,낫소족구화,족구타격기,족구화추천,스타족구공,프로스펙스족구화,미즈노축구화,족구연습,조이킥,족구라인,조이킥스포츠,조이킥바람막이,스쿼드족구화,축구화,스타토네이도,태극족구화
50000045,볼링,볼링화,볼링공,볼링아대,볼링가방,덱스터볼링화,볼링티셔츠,볼링매니아,스톰볼링공,볼링용품,볼링티,남자볼링화,중고볼링공,3볼백,하드볼,볼링볼타올,햄머볼링공,여자볼링화,우레탄볼링공,볼링백,볼링신발
