relative_keyword,total_search,total_store_count,competitive_rate,avg_price
다이어리,46600.0,6088291.0,130.65,16426
펜던트,14040.0,6106061.0,434.9,141756
청소기,106500.0,6226057.0,58.46,437422
반지,67570.0,6255869.0,92.58,178450
시계소품,30.0,6268667.0,208955.57,45826
조리기구,840.0,6286262.0,7483.65,26005
마스크,93800.0,6310283.0,67.27,7670
샤워,6460.0,6315684.0,977.66,31119
부속품,1430.0,6347997.0,4439.16,19370
목욕,4520.0,6374863.0,1410.37,35836
과일,80800.0,6379014.0,78.95,29581
포장용품,3210.0,6487979.0,2021.18,6369
잠옷,79700.0,6540641.0,82.07,17749
러그,65600.0,6553172.0,99.9,31186
목공공구,2240.0,6558529.0,2927.91,157263
세차용품,28170.0,6673124.0,236.89,73474
베개,205800.0,6708375.0,32.6,39891
피규어,30670.0,6733634.0,219.55,103389
크림,795900.0,6773785.0,8.51,24964
러닝,15730.0,6801454.0,432.39,8674
소형기계,30.0,6858313.0,228610.43,719125
블록,9080.0,6869777.0,756.58,104488
카페트,38350.0,6921979.0,180.49,45391
PC케이블,210.0,6943134.0,33062.54,12510
힐,7410.0,6974147.0,941.18,90074
모터,8860.0,6985017.0,788.38,150728
냄비,35890.0,7038038.0,196.1,63494
태블릿,55100.0,7039705.0,127.76,515322
간식,37400.0,7048598.0,188.47,13446
원예공구,110.0,7059640.0,64178.55,58949
테이프,14240.0,7102851.0,498.8,8889
뷰티,10920.0,7140076.0,653.85,47545
리빙,8740.0,7140142.0,816.95,45671
헤어액세서리,240.0,7147054.0,29779.39,6463
자수,10200.0,7207574.0,706.62,13943
충전기,31110.0,7222926.0,232.17,39721
프라모델,16370.0,7269696.0,444.09,121519
골프클럽,8180.0,7392610.0,903.74,837425
브라,30410.0,7424158.0,244.14,19563
휠,6020.0,7460462.0,1239.28,379750
복합기,20140.0,7537576.0,374.26,292209
미술,11770.0,7612466.0,646.77,7985
악기,9470.0,7770306.0,820.52,444172
등산의류,380.0,7779833.0,20473.24,84703
캠코더,16500.0,7856849.0,476.17,1107224
메이크업,20410.0,7922633.0,388.17,21814
프린터소모품,40.0,7948249.0,198706.22,37489
팔찌,89510.0,7949671.0,88.81,1188505
필기도구,1060.0,7958096.0,7507.64,16612
패션시계,1370.0,8205127.0,5989.14,1998682
오토바이용품,4360.0,8234858.0,1888.73,68867
고양이건강,60.0,8266321.0,137772.02,25551
캐릭터,96800.0,8369271.0,86.46,12188
토트백,60960.0,8493826.0,139.33,545035
거울,32580.0,8531144.0,261.85,46346
자전거용품,13110.0,8542923.0,651.63,54159
식탁,106800.0,8548472.0,80.04,219088
패션용품,30.0,8552171.0,285072.37,22326
홈웨어,15440.0,8560553.0,554.44,17459
칼,22180.0,8692478.0,391.91,113964
장갑,16010.0,8786771.0,548.83,28559
모형,3290.0,8844005.0,2688.15,53062
노트,19110.0,8893124.0,465.36,8688
보드용품,80.0,8896432.0,111205.4,102286
손잡이,11470.0,8917761.0,777.49,9698
시트,5000.0,9184592.0,1836.92,128410
귀걸이,92410.0,9185339.0,99.4,200541
RC,6700.0,9279773.0,1385.04,85455
소파,81900.0,9295651.0,113.5,613888
스웨터,6490.0,9319823.0,1436.03,80597
팬티,32020.0,9344147.0,291.82,12531
골프의류,4990.0,9458772.0,1895.55,59753
오토바이부품,1960.0,9608283.0,4902.19,114521
카디건,3620.0,9626694.0,2659.31,83469
게임,144800.0,9719774.0,67.13,19052
양말,103100.0,9805509.0,95.11,5325
블라우스,81220.0,9819315.0,120.9,40851
정리함,15060.0,9934842.0,659.68,15051
취미,26000.0,9942987.0,382.42,14311
백팩,185800.0,9962505.0,53.62,80183
목걸이,102600.0,9967795.0,97.15,347917
프린터,34900.0,9972378.0,285.74,194065
구두,48540.0,10052016.0,207.09,93913
업소용,1970.0,10153721.0,5154.17,41692
트레이닝복,22590.0,10229071.0,452.81,46231
젤리,33420.0,10367250.0,310.21,10875
점퍼,16450.0,10461403.0,635.95,85536
파티용품,19110.0,10527100.0,550.87,21931
파우치,57150.0,10594448.0,185.38,12135
스킨,15000.0,10844118.0,722.94,20071
코트,21930.0,10897688.0,496.93,142726
밀폐용기,18590.0,11036886.0,593.7,25693
보호필름,4160.0,11090559.0,2666.0,10284
정장,30890.0,11245396.0,364.05,99167
숄더백,52930.0,11268405.0,212.89,203838
이벤트,21240.0,11321262.0,533.02,26901
그림,45840.0,11349381.0,247.59,32481
측정공구,220.0,11430294.0,51955.88,102499
오일,10540.0,11692800.0,1109.37,21373
벨트,35170.0,11699408.0,332.65,99585
조끼,25730.0,11773981.0,457.6,44234
슬리퍼,131400.0,11823360.0,89.98,44944
소모품,5500.0,11970204.0,2176.4,99930
커피,225700.0,12281073.0,54.41,18295
영양제,38610.0,12324462.0,319.2,23636
퍼즐,21150.0,12332413.0,583.09,14238
야외용품,80.0,12359257.0,154490.71,84868
출산,14780.0,12406855.0,839.44,42574
부츠,31690.0,12436629.0,392.45,77478
꽃,83400.0,12465078.0,149.46,22034
전자,9890.0,12494768.0,1263.37,117026
주방잡화,110.0,12636018.0,114872.89,14244
사진,42500.0,12730326.0,299.54,27629
배터리,37780.0,12829298.0,339.58,59768
청바지,69120.0,12922881.0,186.96,42533
장식소품,360.0,13072713.0,36313.09,24726
안전용품,11180.0,13234104.0,1183.73,27001
책상,112800.0,13458104.0,119.31,152807
지갑,55760.0,13798377.0,247.46,185127
샌들,31330.0,13982696.0,446.3,77659
액자,51800.0,13996243.0,270.2,30671
크로스백,156200.0,13996481.0,89.61,293358
단화,24650.0,14073865.0,570.95,83173
침대,174800.0,14229798.0,81.41,795633
전동공구,5780.0,14731503.0,2548.7,99339
필름,20540.0,14857095.0,723.32,16573
선반,82900.0,14938786.0,180.2,25285
쿠션,51440.0,15238090.0,296.23,23827
램프,10940.0,15286092.0,1397.27,41109
강아지건강,120.0,15356500.0,127970.83,31575
헤드,11990.0,15991605.0,1333.75,95003
스니커즈,84500.0,15992267.0,189.26,154680
건강식품,10490.0,16026559.0,1527.79,37082
스커트,27080.0,16130182.0,595.65,49684
컵,14660.0,16170757.0,1103.05,20087
스쿠터,45160.0,16390696.0,362.95,2380066
튜닝용품,110.0,16457004.0,149609.13,999479
헤어,41210.0,16497248.0,400.32,21296
청소,11500.0,16709295.0,1452.98,13022
카메라,50420.0,16836872.0,333.93,185811
식기,5630.0,17015279.0,3022.25,69483
스티커,38100.0,17413850.0,457.06,5616
의자,107200.0,17460675.0,162.88,164601
생활소품,300.0,17566007.0,58553.36,15646
노트북,220500.0,17698737.0,80.27,1291468
시계,369700.0,17710498.0,47.91,900649
운동화,152600.0,17788696.0,116.57,73663
스탠드,36870.0,18219345.0,494.15,48350
스트링,8480.0,18393894.0,2169.09,22695
에어,10740.0,18591610.0,1731.06,232817
주변기기,2840.0,18617566.0,6555.48,81723
여행,90600.0,18632014.0,205.65,818607
카드,24010.0,20186146.0,840.74,103683
오토바이,87300.0,20320285.0,232.76,6284674
기계,8030.0,20442643.0,2545.78,100251
언더웨어,5920.0,20448772.0,3454.18,44278
보드,14450.0,20460068.0,1415.92,418157
자전거,178400.0,20573795.0,115.32,1602395
생활잡화,460.0,20574875.0,44727.99,18020
팩,11280.0,20807863.0,1844.67,13026
패드,23540.0,20958170.0,890.32,165117
매트,53990.0,21026622.0,389.45,32876
수작업공구,40.0,21106464.0,527661.6,12985
모자,77430.0,21407696.0,276.48,28757
테이블,46230.0,21512926.0,465.35,100982
보관,3730.0,21929469.0,5879.21,16441
조명,91100.0,21975822.0,241.23,27751
수납용품,280.0,22262347.0,79508.38,16951
기타,48400.0,23379830.0,483.05,366716
손,15080.0,23556025.0,1562.07,55807
무선,1990.0,23586689.0,11852.61,153724
홀더,6170.0,24480815.0,3967.72,6834
패션소품,160.0,24803410.0,155021.31,63748
니트,43840.0,25344476.0,578.11,61504
재킷,3640.0,25689199.0,7057.47,115271
전기용품,2060.0,26189624.0,12713.41,19597
DIY용품,60.0,27577507.0,459625.12,13870
캠핑용품,106600.0,27758193.0,260.4,581658
면,8950.0,27881960.0,3115.3,32967
드레스,20670.0,28077849.0,1358.39,74967
원피스,560200.0,28454346.0,50.79,88037
유아,33960.0,32699447.0,962.88,28350
휴대용,1660.0,33986432.0,20473.75,56788
컴퓨터,94700.0,34822042.0,367.71,671619
휴대폰케이스,55310.0,35905167.0,649.16,16775
미용,5320.0,37293884.0,7010.13,20781
인테리어용품,1210.0,43063597.0,35589.75,125603
어린이,15530.0,43406320.0,2795.0,45079
전기,32880.0,44921680.0,1366.23,19392
바지,28970.0,46616866.0,1609.14,30192
커버,6230.0,47662339.0,7650.46,24963
문구용품,1810.0,48965721.0,27052.88,15274
사무용품,14400.0,49649721.0,3447.9,15161
사무,2920.0,52055675.0,17827.29,56370
육아,9460.0,57429472.0,6070.77,47094
케이스,35650.0,62983549.0,1766.72,17001
티셔츠,37500.0,66224327.0,1765.98,28511
셔츠,41500.0,73199079.0,1763.83,53619
가방,142300.0,80620093.0,566.55,238614
신발,69120.0,85313270.0,1234.28,80257
건강,18970.0,92574845.0,4880.07,95360
세트,8510.0,96872780.0,11383.41,57364
소품,6030.0,100182631.0,16614.03,24261
액세서리,6600.0,119912673.0,18168.59,47742
인테리어,56100.0,127069427.0,2265.05,32418
레저,4430.0,148368359.0,33491.73,223546
남성,14270.0,154359937.0,10817.09,52725
스포츠,698700.0,164428528.0,235.33,222429
가전제품,11970.0,174402263.0,14569.95,348665
가전,4650.0,179264270.0,38551.46,367047
잡화,4600.0,240755648.0,52338.18,74249
의류,5360.0,266761395.0,49768.92,45278
여성,6830.0,273371280.0,40025.08,67413
패션,20730.0,423405866.0,20424.79,58895
생활,4650.0,467694995.0,100579.57,28490
