relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
모니터브라켓,1820.0,152145.0,83.6,26455,327365.0
NAS,14080.0,153016.0,10.87,625847,2590027.0
슈트케이스,2880.0,154401.0,53.61,46590,16046483.0
클렌징세트,50.0,154923.0,3098.46,37804,366319.0
낮잠이불,18130.0,157498.0,8.69,72165,14654666.0
탁구공,8300.0,158291.0,19.07,6427,166335.0
신화,33370.0,158686.0,4.76,49978,460733.0
머리보호대,1270.0,159433.0,125.54,18577,1342133.0
곤약,21870.0,161492.0,7.38,13436,4305102.0
뜸,5650.0,161829.0,28.64,14470,3038805.0
한복소품,1340.0,162407.0,121.2,11681,11441150.0
아이돌굿즈,1980.0,162817.0,82.23,14818,759360.0
회전청소기,110.0,162850.0,1480.45,21586,4059261.0
다림판,1270.0,163184.0,128.49,26450,1992320.0
클렌징크림,5620.0,163638.0,29.12,15167,1577542.0
세탁볼,2680.0,164845.0,61.51,4426,602420.0
웰트화,290.0,164861.0,568.49,29659,665252.0
학습보드게임,80.0,165251.0,2065.64,19782,3199464.0
코너장,7900.0,165538.0,20.95,87231,2390135.0
조리기,190.0,165574.0,871.44,36486,1604204.0
E쿠폰,1050.0,166041.0,158.13,18297,1695803.0
목보호대,6930.0,166527.0,24.03,24238,1738934.0
포기김치,8970.0,166791.0,18.59,33823,1213235.0
선풍기커버,10900.0,169799.0,15.58,3894,377410.0
액티비티,16920.0,170261.0,10.06,21029,745829.0
보풀제거기,15320.0,170407.0,11.12,26408,915590.0
유아목욕장난감,90.0,171024.0,1900.27,12916,2762512.0
수반,11260.0,171109.0,15.2,14667,4674182.0
BB크림,6220.0,171955.0,27.65,23761,3994920.0
배냇저고리,25600.0,172346.0,6.73,25895,6198994.0
일반디카,90.0,172837.0,1920.41,539033,1863741.0
무도복,200.0,173401.0,867.0,88119,776902.0
사케,24450.0,173487.0,7.1,43710,110000.0
유아청소년,30.0,173668.0,5788.93,32332,1471636.0
디지털액자,9520.0,174471.0,18.33,152391,17184.0
신생아모자,8830.0,175118.0,19.83,10894,951777.0
연극,154800.0,175377.0,1.13,13615,21722.0
유아크림,880.0,176988.0,201.12,19201,1124162.0
야구장갑,2720.0,177658.0,65.32,27931,5162371.0
짜장,8850.0,178700.0,20.19,4969,8827419.0
대자리,1620.0,179776.0,110.97,33475,7277975.0
책상의자세트,1470.0,180310.0,122.66,139036,1288137.0
유아칫솔,8000.0,180501.0,22.56,10823,219784.0
헤어롤,7360.0,182427.0,24.79,7167,1472802.0
야구배트,7990.0,183109.0,22.92,121983,3113360.0
유아베개,5110.0,183665.0,35.94,31982,448882.0
업소용믹서기,1830.0,183889.0,100.49,441285,1099970.0
선택기,110.0,184854.0,1680.49,18524,33500287.0
농구대,2180.0,185131.0,84.92,91222,13068000.0
우드락,17860.0,187132.0,10.48,9017,237672.0
컴퓨터공학,3380.0,187209.0,55.39,41660,2128386.0
코털제거기,28880.0,189196.0,6.55,16614,1786118.0
천주교용품,230.0,189273.0,822.93,35660,1677705.0
토퍼커버,7530.0,189328.0,25.14,39941,1623716.0
즉석카메라,7230.0,190657.0,26.37,150110,1119356.0
관엽식물,7760.0,190658.0,24.57,30510,1552095.0
클렌징젤,4550.0,191860.0,42.17,24732,2512339.0
워크스테이션,4830.0,192573.0,39.87,1171228,2496166.0
입욕제,16730.0,192871.0,11.53,15479,843812.0
쥬서기,1670.0,194361.0,116.38,195060,4098970.0
빙수기,2080.0,194507.0,93.51,71932,65049.0
정자,18660.0,195038.0,10.45,559884,9056305.0
반제품,2280.0,195066.0,85.56,17584,756157.0
커플시계,3010.0,195272.0,64.87,110300,826399.0
넝쿨식물,3750.0,196021.0,52.27,6108,1060567.0
창작,2800.0,196720.0,70.26,13962,974404.0
