relative_keyword,total_search,total_store_count,competitive_rate
현미경,11330.0,565202.0,49.89
장롱,17730.0,1171990.0,66.1
협탁,33050.0,1579964.0,47.81
부부테이블,860.0,136442.0,158.65
화장대,84700.0,3078312.0,36.34
붙박이장,64420.0,1081526.0,16.79
거울,32580.0,8531144.0,261.85
TV거실장,5200.0,1098505.0,211.25
침실세트,60.0,847443.0,14124.05
테이블,46230.0,21512926.0,465.35
서랍장,102800.0,2358172.0,22.94
소파,81900.0,9295651.0,113.5
의자,107200.0,17460675.0,162.88
레인지대,260.0,652731.0,2510.5
장식장,21800.0,1418548.0,65.07
왜건,7520.0,1000353.0,133.03
식탁,106800.0,8548472.0,80.04
주방수납장,42460.0,1614511.0,38.02
그릇장,6620.0,217307.0,32.83
컵보드,430.0,136965.0,318.52
카트,45570.0,5204908.0,114.22
수납장,80300.0,5688983.0,70.85
선반,82900.0,14938786.0,180.2
행거,113800.0,4934794.0,43.36
공간박스,10520.0,552261.0,52.5
고가구,4100.0,136787.0,33.36
CD,12590.0,2779169.0,220.74
DVD장,430.0,66775.0,155.29
신발장,40860.0,1594592.0,39.03
나비장,1450.0,20437.0,14.09
우산꽂이,30700.0,577576.0,18.81
코너장,7900.0,165538.0,20.95
책상의자,27570.0,1143482.0,41.48
잡지꽂이,2370.0,372252.0,157.07
소품수납함,170.0,1280166.0,7530.39
책상,112800.0,13458104.0,119.31
책장,88900.0,2328172.0,26.19
책꽂이,42160.0,1251585.0,29.69
침대,174800.0,14229798.0,81.41
책상의자세트,1470.0,180310.0,122.66
옷장,72700.0,3187212.0,43.84
수납장,80300.0,5689024.0,70.85
의자,107200.0,17460726.0,162.88
행거,113800.0,4934822.0,43.36
소파,81900.0,9295651.0,113.5
서랍장,102800.0,2358191.0,22.94
의자,107200.0,17460748.0,162.88
책장,88900.0,2328190.0,26.19
소품가구,370.0,1923251.0,5197.98
책상,112800.0,13458112.0,119.31
야외테이블,20940.0,1727186.0,82.48
야외의자,8570.0,2334845.0,272.44
책꽂이,42160.0,1251581.0,29.69
사무,2920.0,52057187.0,17827.8
정원그네,830.0,334039.0,402.46
야외벤치,5460.0,523497.0,95.88
목재,15220.0,3202390.0,210.41
정자,18660.0,195038.0,10.45
바닥재,6060.0,1379103.0,227.57
손잡이,11470.0,8917761.0,777.49
가구부속품,470.0,4451865.0,9472.05
반제품,2280.0,195066.0,85.56
타일,29740.0,3003210.0,100.98
벽지,34980.0,1698822.0,48.57
시트지,43400.0,4823066.0,111.13
몰딩,21840.0,4507081.0,206.37
파벽돌,6300.0,55520.0,8.81
패널,11710.0,5254452.0,448.71
데코스티커,1600.0,3033305.0,1895.82
접착제,5200.0,2249478.0,432.59
스탠드,36870.0,18219509.0,494.16
리모델링,13000.0,636068.0,48.93
액자,51800.0,13996243.0,270.2
캔들용품,70.0,2884383.0,41205.47
조명,91100.0,21975822.0,241.23
아로마,9450.0,3714624.0,393.08
