relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
공기정화식물,27680.0,317168.0,11.46,19052,1522051
압축팩,13320.0,319650.0,24.0,7096,1847541
살림,4730.0,320230.0,67.7,7372,494951
홑이불,2130.0,321217.0,150.81,21439,2221462
쓰레받기,9220.0,321367.0,34.86,8225,1843941
우체통,18740.0,321773.0,17.17,24662,1934376
반죽기,12010.0,321999.0,26.81,256835,3802785
버티컬,13670.0,323597.0,23.67,29379,225972
브랜드PC,200.0,323748.0,1618.74,770977,23342111
노트북보안기,40.0,323962.0,8099.05,25045,428301
마스카라,14160.0,324478.0,22.92,11280,1463064
발보호대,1200.0,325116.0,270.93,4861,383778
테니스가방,32140.0,325666.0,10.13,60236,1643086
위생마스크,1060.0,326615.0,308.13,9547,241088
찜질기,6400.0,327385.0,51.15,37039,7949996
영상플레이어,1960.0,327668.0,167.18,112906,49777
캠핑왜건,1500.0,328273.0,218.85,94935,5483307
오디오믹서,2190.0,330312.0,150.83,371450,1146318
목욕비누,460.0,330751.0,719.02,8197,1813976
돼지고기,25830.0,330840.0,12.81,15162,3487202
복근운동기구,10950.0,331086.0,30.24,26026,7845517
가정용게임기,2710.0,332186.0,122.58,358280,4108743
가구설치,190.0,332807.0,1751.62,31283,3384621
정원그네,830.0,334039.0,402.46,185078,937583
롤스크린,12100.0,334535.0,27.65,10290,426372
탈수기,6020.0,335308.0,55.7,88555,1797974
묘목,6820.0,336118.0,49.28,19331,483927
선글라스케이스,4820.0,340188.0,70.58,7964,449441
모서리보호대,13550.0,343196.0,25.33,4907,1395958
안경케이스,7580.0,348203.0,45.94,6677,413713
놀이방매트,14190.0,348451.0,24.56,48581,8406495
기포,1850.0,348883.0,188.59,19935,1349917
탈모케어,1020.0,349934.0,343.07,21299,9484319
보행기,19940.0,350198.0,17.56,98013,2621461
DVR,3010.0,350854.0,116.56,224934,878296
풋케어,3040.0,351680.0,115.68,10035,1291585
자동차TV,180.0,352290.0,1957.17,183565,2473568
외장SSD,16330.0,352418.0,21.58,89375,11010183
사전,279700.0,354190.0,1.27,194123,503375
모니터어댑터,2100.0,355484.0,169.28,7112,431694
사운드카드,3920.0,357358.0,91.16,117925,1892360
발목보호대,42550.0,358095.0,8.42,21106,2638111
마네킹,13010.0,359222.0,27.61,30771,971123
남아수영복,5510.0,359809.0,65.3,31539,2498918
보드복,7440.0,360099.0,48.4,125776,594468
무용,4510.0,363015.0,80.49,23731,255200
웹캠,10240.0,364202.0,35.57,41773,2340409
세탁망,5400.0,367932.0,68.14,3490,1036365
