relative_keyword,avg_price
목도리뜨개질,23977.0
벨보아,11598.0
니트컨테이너,32088.0
수세미실,2136.0
바라클라바뜨기,21470.0
힙분유,83231.0
앱솔루트명작,56688.0
앱솔루트명작1단계,50111.0
압타밀,78492.0
산양분유,41406.0
A2분유,116499.0
아이엠마더1단계,34064.0
압타밀프로푸트라1단계,118675.0
아이엠마더,49349.0
압타밀프로푸트라2단계,135276.0
액상분유,27655.0
퓨어락,101066.0
앱솔루트센서티브,85108.0
명작1단계,53594.0
위드맘1단계,59393.0
앱솔루트산양,109818.0
후디스산양분유,125459.0
앱솔루트명작2단계,54742.0
앱솔루트센서티브1단계,83473.0
천기저귀,19584.0
하기스네이처메이드1단계,46321.0
하기스네이처메이드2단계,46985.0
팸퍼스,35533.0
팸퍼스기저귀,36512.0
하기스기저귀,20514.0
신생아기저귀,24436.0
하기스네이처메이드,35231.0
나비잠기저귀,35432.0
밤부베베천기저귀,36768.0
리베로터치6단계,47351.0
크린베베,20233.0
하기스네이처메이드3단계,60299.0
팸퍼스베이비드라이5단계,59197.0
팸퍼스베이비드라이6단계,60829.0
크린베베일자형기저귀,22236.0
마미포코기저귀,44772.0
하기스네이처메이드5단계,44660.0
브라운물티슈,33799.0
마이비데,11496.0
앙블랑물티슈,21418.0
베베숲시그니처블루,33442.0
베베앙물티슈,27615.0
대용량물티슈,10510.0
베베숲시그니처레드,65374.0
순둥이물티슈,21928.0
비데물티슈,12034.0
붕어빵물티슈,23285.0
애터미물티슈,24162.0
페넬로페물티슈,27429.0
이유식큐브,11068.0
아기반찬,9173.0
생선파는언니,9516.0
큐브데이,6450.0
실온이유식,20803.0
맘마밀,14573.0
얼라맘마,11995.0
초기이유식,17149.0
아기간장,14764.0
아기김,9386.0
바맘,15231.0
아기퓨레,20160.0
루솔이유식,31840.0
이유식야채큐브,10374.0
아넬라퓨레,39547.0
담은수,15644.0
떡뻥,2681.0
뽀로로음료수,11968.0
루솔진한배도라지즙,73822.0
질마재농장,3574.0
뽀로로음료,15683.0
아기배도라지즙,32714.0
킨더밀쉬,24032.0
아기보리차,19648.0
아기치즈,20011.0
티딩러스크,24642.0
이치비야,7100.0
뽀로로보리차,16327.0
배도라지즙아기,30064.0
요미요미,17746.0
아기떡뻥,6719.0
또또맘,17705.0
아이키커,23547.0
아기요거트,16920.0
역류방지쿠션,58601.0
제이앤제나역류방지쿠션,91596.0
수유쿠션,50475.0
더블하트젖꼭지,16874.0
더블하트젖병,20307.0
쪽쪽이,8735.0
셀프수유쿠션,34679.0
유축기,45070.0
모윰쪽쪽이,22268.0
제이앤제나,63746.0
닥터브라운젖병,27884.0
쪽쪽이클립,9601.0
아벤트쪽쪽이,10290.0
역방쿠,50331.0
수유시트,35038.0
수유패드,10856.0
헤겐젖병,65826.0
스펙트라유축기,11339.0
트라이크,138098.0
절충형유모차,930613.0
유모차라이너,32810.0
유모차방한커버,38572.0
유모차방풍커버,37569.0
유모차컵홀더,11299.0
쌍둥이유모차,396422.0
와이업지니제로3,347455.0
초경량유모차,354797.0
트라이크유모차,126470.0
디럭스유모차,944098.0
부가부버터플라이,874018.0
에이블트라이크,166774.0
유모카,137899.0
유모차선풍기,23511.0
부가부풋머프,214052.0
유모차장갑,17696.0
주니어카시트,344778.0
휴대용카시트,141658.0
부스터카시트,78437.0
브라이텍스카시트,614658.0
브라이텍스듀얼픽스아이사이즈,1057274.0
싸이벡스주니어카시트,305453.0
다이치원픽스360,496221.0
다이치카시트,270307.0
바구니카시트,165891.0
바구니카시트대여,21035.0
브라이텍스,579524.0
카시트발판,43955.0
어린이안전벨트,14867.0
안전벨트인형,19364.0
토들러카시트,510923.0
싸이벡스카시트,485782.0
폴레드올에이지360,462025.0
카시트발받침대,37369.0
페도라바구니카시트,21300.0
아기띠,119378.0
포그내아기띠,147966.0
