relative_keyword,total_search,total_store_count,competitive_rate
RC카,29410.0,495496.0,16.85
뉴타입,27730.0,272339.0,9.82
치이카와,78420.0,91541.0,1.17
피규어,30080.0,7407867.0,246.27
젤다아미보,11260.0,13259.0,1.18
푸쉬팝게임기,10300.0,12902.0,1.25
아이브포카,43840.0,13778.0,0.31
꼬치의달인,24220.0,787.0,0.03
모루인형만들기,56860.0,12599.0,0.22
타로카드,23290.0,243388.0,10.45
MONSTER,4630.0,1744222.0,376.72
MGSD발바토스,10770.0,480.0,0.04
생이새우,14340.0,3469.0,0.24
체리새우,15510.0,5681.0,0.37
수초,14050.0,391945.0,27.9
어항,24730.0,2199462.0,88.94
여과기,8580.0,900893.0,105.0
외부여과기,5100.0,67845.0,13.3
어항조명,5270.0,193187.0,36.66
거북이어항,5330.0,195949.0,36.76
브라인쉬림프,5940.0,11477.0,1.93
유목,8000.0,55824.0,6.98
어항여과기,5270.0,233192.0,44.25
무환수어항,5390.0,17736.0,3.29
미니어항,3460.0,215383.0,62.25
걸이식여과기,3670.0,50668.0,13.81
어항히터,5220.0,116196.0,22.26
2자어항,3680.0,88664.0,24.09
어항꾸미기,4700.0,204657.0,43.54
화산석,10790.0,73901.0,6.85
축양장,3880.0,162120.0,41.78
금붕어,16320.0,150092.0,9.2
뉴진스앨범,17520.0,2564.0,0.15
아이브앨범,81530.0,12286.0,0.15
플레이브앨범,6630.0,120.0,0.02
세븐틴앨범,23690.0,7132.0,0.3
TRIO,1060.0,202049.0,190.61
투바투앨범,15640.0,3446.0,0.22
제로베이스원앨범,7550.0,1203.0,0.16
LP,17120.0,2024752.0,118.27
아이브,492300.0,1014727.0,2.06
아이브마인앨범,4440.0,1489.0,0.34
르세라핌앨범,8060.0,2466.0,0.31
제베원앨범,7790.0,758.0,0.1
정국골든앨범,7510.0,375.0,0.05
라이즈앨범,9890.0,791.0,0.08
LP판,13990.0,167458.0,11.97
QWER앨범,4430.0,61.0,0.01
세븐틴,581800.0,34004.0,0.06
잔나비LP,3570.0,177.0,0.05
이승윤LP,3430.0,34.0,0.01
아이브미니앨범,2310.0,718.0,0.31
슬램덩크만화책,5360.0,1272.0,0.24
윔피키드원서,2210.0,530.0,0.24
독학사,15950.0,1939.0,0.12
그리스로마신화,29860.0,6505.0,0.22
EBS봉투모의고사,11310.0,178.0,0.02
드래곤볼만화책,1980.0,76.0,0.04
EBS모의고사,7960.0,464.0,0.06
EBS파이널모의고사,3450.0,217.0,0.06
받침없는동화,3300.0,93.0,0.03
지역농협NCS,2280.0,92.0,0.04
봉투모의고사,4560.0,1977.0,0.43
아서스타터,610.0,143.0,0.23
