relative_keyword,total_search,total_store,competitive_rate,avg_price
조던1로우,3710.0,98153.0,26.45633423180593,120248.0
르브론20,6450.0,4869.0,0.7548837209302326,208702.0
몰텐농구공,3160.0,23280.0,7.367088607594937,43387.0
줌프릭4,1590.0,2062.0,1.2968553459119496,137580.0
에어조던1로우,9040.0,48018.0,5.311725663716814,120891.0
아디다스농구화,2920.0,34440.0,11.794520547945206,112844.0
농구유니폼,3380.0,80337.0,23.768343195266272,25109.0
업템포,4090.0,22494.0,5.499755501222494,139191.0
피구공,6890.0,37644.0,5.463570391872278,16480.0
미즈노배구화,4900.0,28835.0,5.884693877551021,81326.0
아식스배구화,9950.0,23224.0,2.334070351758794,73758.0
배구화,8230.0,118233.0,14.366099635479952,76214.0
나이키배구화,2240.0,2029.0,0.9058035714285714,201146.0
아식스스카이엘리트,1010.0,3327.0,3.294059405940594,131912.0
배구유니폼,1330.0,16722.0,12.572932330827069,41272.0
미카사배구공,2700.0,5615.0,2.079629629629629,84205.0
빅발리볼,2590.0,3292.0,1.271042471042471,56590.0
배구화추천,1010.0,118229.0,117.05841584158416,76908.0
탁구화,10630.0,89997.0,8.466321730950142,88677.0
미즈노탁구화,6400.0,14978.0,2.3403125,100999.0
탁구러버,4840.0,105426.0,21.78223140495868,36578.0
탁구가방,2160.0,71201.0,32.963425925925925,42872.0
탁구라켓케이스,1520.0,34286.0,22.556578947368426,26071.0
탁구대,8070.0,82268.0,10.194299876084262,490981.0
엑시옴탁구복,1830.0,2707.0,1.4792349726775955,47822.0
탁구유니폼,1400.0,45999.0,32.85642857142857,38504.0
탁구복상의,1910.0,27035.0,14.154450261780104,43921.0
버터플라이탁구복,1600.0,7298.0,4.56125,51994.0
아식스탁구화,1780.0,3386.0,1.902247191011236,104701.0
테너지05,3180.0,6408.0,2.015094339622641,80856.0
버터플라이탁구화,1570.0,63153.0,40.22484076433121,76590.0
탁구연습기,1380.0,48796.0,35.35942028985507,105438.0
미즈노배드민턴화,12830.0,34890.0,2.7194076383476227,101831.0
요넥스배드민턴화,15060.0,41262.0,2.7398406374502,100489.0
요넥스티셔츠,6230.0,61583.0,9.884911717495989,40172.0
배드민턴그립테이프,1070.0,63897.0,59.71682242990654,4263.0
요넥스반바지,2010.0,19903.0,9.901990049751245,37968.0
KBB79,6240.0,419.0,0.0671474358974359,165526.0
요넥스배드민턴라켓,10510.0,82180.0,7.819219790675547,149426.0
요넥스바람막이,6490.0,6376.0,0.9824345146379044,89002.0
배드민턴반바지,1390.0,94316.0,67.85323741007194,30183.0
테크니스트티셔츠,2160.0,9087.0,4.206944444444445,30764.0
나이키테니스화,12190.0,63632.0,5.220016406890895,100798.0
아식스테니스화,10610.0,53573.0,5.049293119698397,112206.0
윌슨테니스라켓,9310.0,101672.0,10.920730397422126,215375.0
윌슨테니스가방,5500.0,44586.0,8.106545454545454,64156.0
아디다스테니스화,6240.0,68912.0,11.043589743589743,70730.0
테니스화여성,2000.0,103714.0,51.857,90642.0
테니스백팩,2980.0,111359.0,37.368791946308725,65832.0
바볼랏테니스라켓,3140.0,52951.0,16.863375796178342,202288.0
요넥스테니스화,3130.0,33185.0,10.60223642172524,94461.0
여성테니스화,1240.0,103714.0,83.64032258064516,93086.0
비트로테니스화,1530.0,2242.0,1.465359477124183,111004.0
스쿼시라켓,5660.0,70443.0,12.445759717314488,132492.0
스타족구화,2120.0,3939.0,1.858018867924528,74895.0
족구공,2680.0,39021.0,14.560074626865672,32875.0
족구화,7110.0,19260.0,2.7088607594936707,68569.0
조이킥족구화,2200.0,642.0,0.2918181818181818,85346.0
족구네트,1400.0,45447.0,32.46214285714286,34111.0
조이킥,4230.0,1271.0,0.3004728132387707,85416.0
볼링공,17780.0,88758.0,4.992013498312711,207200.0
볼링화,8510.0,61933.0,7.277673325499412,127948.0
볼링아대,4770.0,55455.0,11.625786163522012,64610.0
볼링티셔츠,2240.0,26591.0,11.870982142857144,35594.0
볼링가방,2910.0,71642.0,24.619243986254297,100535.0
볼링용품,4950.0,120467.0,24.33676767676768,5636.0
스톰볼링공,4200.0,7595.0,1.8083333333333331,254321.0
중고볼링공,2130.0,1176.0,0.5521126760563381,142814.0
볼링티,1750.0,26591.0,15.194857142857144,30871.0
덱스터볼링화,2600.0,10925.0,4.201923076923077,163408.0
남자볼링화,1260.0,26782.0,21.25555555555556,156356.0
볼링백,3640.0,71642.0,19.68186813186813,97147.0
하드볼,1910.0,11446.0,5.992670157068063,121679.0
햄머볼링공,1860.0,8696.0,4.675268817204301,260300.0
우레탄볼링공,1220.0,3917.0,3.210655737704918,207706.0
웻슈트,3120.0,118461.0,37.96826923076923,79185.0
수중랜턴,1200.0,92375.0,76.97916666666667,75188.0
수중스쿠터,1530.0,26378.0,17.240522875816993,745377.0
작살,2570.0,28678.0,11.158754863813227,25526.0
드라이슈트,1610.0,62673.0,38.92732919254659,1257600.0
작살총,1110.0,8223.0,7.408108108108108,50340.0
다이빙컴퓨터,2040.0,22691.0,11.123039215686276,499153.0
핀삭스,1180.0,10249.0,8.685593220338983,25936.0
검도복,1500.0,8381.0,5.5873333333333335,51448.0
검도용품,2140.0,63907.0,29.863084112149533,22062.0
검도호구,1910.0,9808.0,5.135078534031414,322551.0
죽도,13900.0,30679.0,2.207122302158273,37200.0
신켄무도구,3960.0,181.0,0.0457070707070707,73722.0
발레바,4650.0,46439.0,9.986881720430109,97351.0
성인발레복,7580.0,90407.0,11.927044854881268,24961.0
에어로빅복,5880.0,68361.0,11.626020408163264,17796.0
드레스몰,7290.0,6515.0,0.8936899862825789,15788.0
폴댄스의상,3600.0,74356.0,20.654444444444444,29464.0
라인댄스바지,3530.0,79339.0,22.475637393767705,24006.0
가정용샌드백,2500.0,85200.0,34.08,69571.0
위닝글러브,7120.0,12931.0,1.8161516853932584,235117.0
트윈스글러브,3120.0,7570.0,2.426282051282051,136905.0
복싱핸드랩,3400.0,40368.0,11.872941176470588,13656.0
핸드랩,2090.0,45513.0,21.776555023923446,12813.0
라이벌글러브,2100.0,2771.0,1.3195238095238095,208373.0
레예스글러브,2240.0,5801.0,2.5897321428571427,328003.0
아디다스복싱글러브,1400.0,6542.0,4.672857142857143,106938.0
의료용손목보호대,6260.0,11938.0,1.9070287539936104,14148.0
얇은손목보호대,1490.0,24004.0,16.110067114093958,14325.0
의료용무릎보호대,2190.0,14142.0,6.457534246575342,21117.0
의료용허리보호대,2790.0,13759.0,4.931541218637993,29217.0
발목아대,3050.0,100799.0,33.048852459016395,12268.0
의료용발목보호대,1130.0,7033.0,6.223893805309735,17994.0
가검,2320.0,44427.0,19.14956896551724,81363.0
목검,2860.0,45104.0,15.77062937062937,47365.0
일본도,4270.0,10981.0,2.5716627634660423,78958.0
쌍절곤,5480.0,32377.0,5.908211678832116,7942.0
진검,2120.0,5194.0,2.45,66639.0
도검,2440.0,23938.0,9.810655737704918,145582.0
단검,2910.0,24948.0,8.57319587628866,45655.0
카타나,4710.0,101530.0,21.556263269639064,71355.0
대조영도검,1630.0,1174.0,0.7202453987730061,158228.0
단도,2250.0,8557.0,3.8031111111111113,53412.0
