relative_keyword,avg_price
애플펜슬펜촉,6632.0
갤럭시탭S8플러스케이스,23337.0
아이패드9세대케이스,18131.0
아이패드미니6케이스,16652.0
아이패드에어5케이스,20854.0
갤럭시탭S6라이트케이스,15945.0
아이패드종이질감필름,13239.0
듀얼모니터암,66996.0
듀얼모니터받침대,20187.0
싱글모니터암,50790.0
원목모니터받침대,16261.0
높이조절모니터받침대,23147.0
모니터암듀얼,69700.0
카멜모니터암,76837.0
SL-M2030,100591.0
MLT-K200L,20033.0
CLT-K510S,28556.0
SL-M2077F,120589.0
SL-C563W,292882.0
SL-M2893FW,269774.0
브리츠스피커,30774.0
브리츠사운드바,31848.0
에버미디어,239193.0
앱코헤드셋,32180.0
캔스톤스피커,104246.0
씨게이트외장하드,163064.0
SSDT7,135390.0
삼성외장하드,134933.0
외장하드4TB,109291.0
WDSSD,145393.0
시놀로지,848165.0
외장하드5TB,179409.0
CTOHDMI,16535.0
허브랙,253231.0
마이크로닉스파워,85150.0
RTX3060TI,584878.0
RTX3060,484263.0
유선공유기,110021.0
오피스2021,226241.0
캐디안,844539.0
큐베이스,324504.0
한컴오피스2022,291261.0
마이크로소프트오피스,170905.0
한글2022,419444.0
운영체제,153250.0
굿노트다이어리,6920.0
3단매트리스,94796.0
업소용싱크대,110308.0
초등학생책상,251168.0
아기책장,103588.0
초등학생의자,79913.0
아기옷장,120413.0
한샘샘키즈수납장,171566.0
성인벙커침대,591377.0
침대안전가드,39725.0
교구장,100234.0
모션데스크,362977.0
파고라,566165.0
방음부스,908505.0
이동식주택,19732200.0
모듈러주택,86135607.0
테라스가림막,45243.0
컨테이너하우스,9816749.0
원두막,541900.0
조립식주택,5050365.0
현관코일매트,10271.0
철제다리,25882.0
오로라무드등,27886.0
다리베개,32230.0
거북목베개,30104.0
알레르망침구세트,146525.0
양모이불,105494.0
구스베개,55979.0
빨아쓰는규조토발매트,10364.0
우드블라인드,16064.0
콤비블라인드,22670.0
차르르커튼,20887.0
방한암막커튼,28264.0
속커튼,28989.0
안뚫어고리,8389.0
자이언트얀가방,25716.0
벨벳자이언트얀,12038.0
자이언트얀실,10543.0
자이언트얀벨벳,12267.0
양모펠트,8597.0
펀치니들,14710.0
해바라기보석십자수,20839.0
양말목,6371.0
힙분유,79285.0
압타밀,80595.0
압타밀프로푸트라2단계,136805.0
앱솔루트명작,54462.0
앱솔루트명작1단계,60699.0
압타밀프로푸트라1단계,120320.0
아이엠마더1단계,82694.0
아이엠마더,43651.0
산양분유,43089.0
위드맘,58102.0
퓨어락,102543.0
노발락AC,131222.0
위드맘1단계,99200.0
위드맘2단계,109425.0
위드맘제왕1단계,102423.0
액상분유,31802.0
후디스산양분유,186402.0
천기저귀,20697.0
페넬로페기저귀,27201.0
쿠잉기저귀,40539.0
하기스기저귀,20332.0
하기스네이처메이드1단계,46819.0
하기스네이처메이드2단계,43959.0
신생아기저귀,25398.0
방수기저귀,10855.0
팸퍼스,36539.0
하기스네이처메이드,28172.0
팸퍼스기저귀,35545.0
팸퍼스베이비드라이5단계,57130.0
하기스네이처메이드3단계,56240.0
대용량물티슈,10650.0
비데물티슈,12196.0
업소용물티슈,19056.0
신생아물티슈,17851.0
물티슈20팩,12846.0
앙블랑물티슈,24613.0
마이비데,11291.0
순둥이물티슈,22620.0
베베숲시그니처블루,43402.0
미엘물티슈,18046.0
아기반찬,7802.0
이유식큐브,9363.0
이유식쌀가루,11239.0
초기이유식,18318.0
아기퓨레,23544.0
아기김,9896.0
아기간장,14173.0
실온이유식,21263.0
아기김치,8865.0
맘마밀,13630.0
이유식야채큐브,10717.0
담은수,16217.0
아넬라퓨레,36029.0
퓨레,15269.0
엘빈즈,23753.0
아기과자,12724.0
떡뻥,4008.0
유기농과자,8013.0
뽀로로음료수,11735.0
배도라지,24565.0
뽀로로음료,15280.0
티딩러스크,22700.0
아기치즈,20923.0
킨더밀쉬,25407.0
루솔진한배도라지즙,67995.0
아기보리차,16450.0
아이키커,23096.0
뽀로로보리차,17689.0
질마재농장,3618.0
아기배도라지즙,29866.0
아기떡뻥,7513.0
베베당,8920.0
요미요미,18497.0
쪽쪽이,9666.0
역류방지쿠션,58853.0
유축기,40216.0
분유제조기,231005.0
수유쿠션,53739.0
제이앤제나역류방지쿠션,89484.0
쪽쪽이클립,9187.0
더블하트젖꼭지,20273.0
더블하트젖병,21527.0
베이비브레짜,355756.0
유리젖병,25201.0
아벤트쪽쪽이,11576.0
모윰쪽쪽이,22280.0
닥터브라운젖병,26044.0
모유저장팩,9360.0
유축기대여,27801.0
수유패드,10511.0
스펙트라젖병,25947.0
디럭스유모차,948174.0
유모차컵홀더,11758.0
유모차라이너,32291.0
트라이크,113664.0
킨즈유모차,321096.0
유모차장갑,18915.0
절충형유모차,899504.0
유모차걸이,9521.0
폴레드에어러브,135968.0
에이블트라이크,143683.0
유모차가방걸이,6029.0
주니어카시트,335582.0
휴대용카시트,143830.0
부스터카시트,77550.0
신생아카시트,545794.0
브라이텍스카시트,632199.0
싸이벡스주니어카시트,305011.0
조이카시트,485872.0
카시트발받침대,37865.0
카시트후방거울,13437.0
다이치원픽스360,499922.0
바구니카시트,156397.0
카시트발판,42391.0
브라이텍스듀얼픽스아이사이즈,921393.0
다이치카시트,267529.0
안전벨트인형,18726.0
어린이안전벨트,11614.0
토들러카시트,453324.0
페도라바구니카시트,21398.0
순성카시트,303933.0
아기띠,120406.0
힙시트,124430.0
기저귀가방백팩,38778.0
신생아아기띠,88163.0
포그내아기띠,134627.0
기저귀파우치,15015.0
베이비뵨아기띠,206922.0
아기포대기,32254.0
에르고아기띠,150953.0
아기띠침받이,13170.0
국민기저귀가방,37269.0
포그내맥스올인원,391832.0
기저귀백팩,35607.0
백팩기저귀가방,43352.0
기저귀가방이너백,49326.0
베이비뵨미니,205692.0
제이해밀턴기저귀가방,213254.0
아기욕조,36993.0
아기비데,36039.0
신생아욕조,25703.0
샤워핸들,48043.0
말랑하니욕조,41958.0
포프베베아기비데,71418.0
포프베베,55250.0
아기목욕타올,19928.0
아기물놀이장난감,11177.0
온다베이비플러스,55632.0
온다베이비욕조,45006.0
슈너글아기욕조,54984.0
유아욕조,35638.0
아기세면대,6577.0
옥토넛장난감,30960.0
말랑하니,25689.0
프롬유,28241.0
아기수딩젤,18403.0
아기엉덩이클렌저,27135.0
베이비로션,17775.0
유아로션,18636.0
아기바디워시,17678.0
유아바디워시,17914.0
베이비오일,18510.0
키즈로션,17858.0
키즈샴푸,16032.0
신생아로션,24515.0
캐치티니핑마스크,12782.0
포켓몬마스크,23051.0
콧물흡입기,24485.0
아기변기,23541.0
초소형마스크,10774.0
유아변기,22702.0
어린이치약,9123.0
유아치약,10098.0
아기치약,9756.0
조르단칫솔,17094.0
키즈치약,8497.0
어린이고불소치약,15002.0
벨레다치약,24853.0
조르단칫솔1단계,19436.0
조르단치약,17059.0
유아세제,18698.0
유아세탁세제,19744.0
아기섬유유연제,14877.0
유아섬유유연제,14016.0
아기세탁세제,20828.0
폴메디슨키즈아토표백제,141146.0
토루토루세탁세제,28415.0
마이비얼룩제거제,15561.0
레드루트세탁세제,39433.0
호호에미,40422.0
비앤비섬유세제,20704.0
해님젖병소독기,122508.0
젖병세정제,11161.0
유팡젖병소독기,197325.0
젖병세척솔,7386.0
젖병건조대,21003.0
젖병세제,13740.0
해님젖병소독기4세대,234851.0
아기안전문,30335.0
모기패치,7416.0
아기무릎보호대,12506.0
호빵맨모기패치,12238.0
서랍잠금장치,2990.0
방문스토퍼,2912.0
루보안전문,27246.0
아기머리보호대,19516.0
머리쿵보호대,17250.0
범퍼침대,222928.0
아기범퍼침대,221848.0
기저귀정리함,30447.0
기저귀갈이대,90790.0
유아책상,96179.0
아기식탁의자,91642.0
아기침대대여,60543.0
아기옷걸이,5723.0
신생아침대,180430.0
아기쇼파,86263.0
에시앙범보의자,123516.0
유아식판,19763.0
실리콘턱받이,9871.0
이유식턱받이,12819.0
아기턱받이,8667.0
흡착식판,29235.0
아기식판,17413.0
그로미미빨대컵,16030.0
릿첼이유식스푼,9683.0
자기주도이유식스푼,12371.0
자기주도스푼,11015.0
과즙망,10109.0
베이비뵨턱받이,33612.0
아기빨대컵,16180.0
수유나시,20279.0
수유브라,18234.0
임부팬티,13576.0
임산부브라,15673.0
임산부팬티,13859.0
임산부수영복,29127.0
임산부바지,20823.0
수유복,25576.0
임산부레깅스,15307.0
맘스안심팬티,22495.0
수유원피스,26723.0
임산부복대,16040.0
임산부바디필로우,45131.0
임산부손목보호대,10514.0
튼살크림,33486.0
양배추크림,31892.0
임산부샴푸,20499.0
임산부튼살크림,35603.0
임산부크림,33433.0
임산부쿠션,41902.0
비오템튼살크림,70867.0
회음부방석,16334.0
도넛방석,12855.0
산모손목보호대,9609.0
임산부바디워시,18231.0
임밍아웃카드,2592.0
임밍아웃,5886.0
아토팜튼살크림,36101.0
맘라떼모아,118696.0
