relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
반스뮬,25,3,11,1
칼하트모자,35,2,3,0
와인칠러,24,3,12,1
살림망,38,2,0,0
소토버너,31,2,7,0
만보기,37,1,2,0
아이브포토카드,22,8,10,0
건조기양모볼,26,4,9,1
쟈뎅아워티,29,7,4,0
팔씨름,37,2,1,0
아동페이크목폴라,25,5,10,0
남자은반지,30,6,4,0
고기망치,38,1,1,0
싯업,35,3,2,0
저당고추장,30,2,8,0
초등시계,18,6,14,2
다마고치,30,4,6,0
미사포,31,3,6,0
미사보,31,3,6,0
이브이히어로즈,35,2,3,0
돌절구,34,2,4,0
귀후비개,28,5,6,1
현관문걸쇠,31,3,4,2
고양이창문해먹,23,2,14,1
감자옹심이,30,6,4,0
파버카스텔색연필,34,3,3,0
소근육발달놀이,35,1,4,0
돋보기안경,30,5,5,0
수제햄,32,1,5,2
초속경몰탈,30,4,6,0
미니헬스가방,34,1,5,0
하바티치즈,36,1,3,0
수능엿,32,3,5,0
은박매트,38,0,2,0
빅토리녹스,37,1,2,0
소가죽미들부츠,24,5,11,0
타코야끼만들기,38,0,2,0
단소,37,3,0,0
꼬꼬노리,35,1,4,0
인조잔디화,37,2,1,0
쌀씻는도구,26,4,9,1
목카라,36,2,1,1
브라이덜샤워소품,7,10,23,0
스타농구공,32,3,5,0
아기소변기,30,2,8,0
레이저포인트,31,6,3,0
2024벽걸이달력,17,10,9,4
똥츄,30,2,8,0
헬렌스타인이불커버,38,2,0,0
법복,22,7,11,0
경광봉,34,2,4,0
나무이젤,30,2,8,0
싱잉볼,31,4,5,0
스텐빨래바구니,31,4,5,0
용접안경,39,1,0,0
전동와인오프너,27,6,6,1
점수판,40,0,0,0
레벨기거치대,37,1,2,0
일회용수건,28,4,8,0
청진기,38,1,1,0
앉은뱅이저울,37,3,0,0
깔깔이바,33,3,4,0
캠핑변기,19,8,13,0
포토월,33,3,4,0
도리명가,6,0,2,0
빅퍼스5A,36,3,1,0
NBA유니폼,36,2,2,0
쑥뜸,34,3,3,0
삼각김밥틀,30,4,5,1
중국보이차,38,0,2,0
레이져포인트,31,6,3,0
라면기,26,4,9,1
거리측정기케이스,36,2,2,0
보청기가격비교,36,2,2,0
보청기가격,36,2,2,0
2024년벽걸이달력,20,8,8,4
웨딩속바지,32,1,6,1
데이지체인,30,4,6,0
얇은핸들커버,36,3,1,0
축구공가방,33,2,5,0
뻐꾸기시계,29,8,2,1
볼풀장,32,3,5,0
쌀집계산기,35,1,4,0
미니붕어빵틀,38,0,2,0
강아지거품기,33,1,6,0
정새우,33,2,5,0
순창고추장,30,5,5,0
킥보드가방,33,4,3,0
귀여운계산기,24,2,13,1
국내기차여행,16,3,19,2
해루질조과통,37,2,1,0
골프프라이드그립,34,3,3,0
정수기다이,21,9,9,1
아레나수모,25,4,11,0
자세변환용구,35,2,3,0
부케말리기선물,24,3,12,1
수부슬리퍼,33,2,5,0
수부,33,2,5,0
퓨전한복,20,3,16,1
배달조끼,29,3,8,0
바다낚시조끼,35,2,3,0
성장동영상제작,24,4,11,1
골프거리측정기케이스,36,2,2,0
이케바나화병,19,2,14,5
짐바브웨100조달러,39,1,0,0
교세라세라믹칼,35,1,4,0
전자호각,35,3,2,0
여아캐노피,35,2,2,1
이미스호보백,28,3,6,3
치즈플래터,20,6,11,3
남자수분크림,36,1,3,0
잔디엣지,35,3,2,0
키즈플리스자켓,20,14,6,0
의사가운,32,2,6,0
캐리어잠금장치,34,2,4,0
강아지풉백,28,2,10,0
피스복,37,1,2,0
목발,36,4,0,0
또봇트라이탄,36,0,4,0
밀크츄,30,4,6,0
엉뽕팬티,30,5,5,0
여성골프힙색,23,11,6,0
신한마카,39,0,1,0
초례청약과,26,5,7,2
이산화탄소경보기,38,0,2,0
남아소변기,31,3,6,0
함몰유두교정기,37,1,2,0
이지바,36,3,1,0
브이텍,34,1,5,0
미즈노테니스화,40,0,0,0
핸드랩,26,10,4,0
임산부방석,33,2,5,0
탕온계,36,1,3,0
LOZ미니블럭,38,0,2,0
새싹인삼,32,3,5,0
뒤집기방지,24,3,10,3
대체육,37,1,2,0
로보피쉬,36,1,3,0
엄마랑벽그림병풍,35,2,2,1
콜렉트북,16,4,16,4
시가잭충전기,37,1,2,0
휴비딕저주파,35,1,4,0
실로폰,36,0,4,0
삼각김밥만들기,34,1,4,1
카시트장난감,36,2,2,0
미니족,31,3,5,1
파르미지아노레지아노,37,1,1,1
비즈영어,38,1,1,0
메탈라이트,39,1,0,0
행사용테이블보,32,3,4,1
투표함,39,1,0,0
키재기,26,3,10,1
소와나무체다치즈,37,1,2,0
모던하우스이불,33,2,5,0
남성수분크림,36,1,3,0
또봇붐,35,0,5,0
방수시멘트,33,3,4,0
마카펜세트,30,3,7,0
허벅지보호대,35,2,3,0
부케선물,24,3,12,1
차상,37,1,2,0
핸드폰만보기,37,1,2,0
초크백,30,5,5,0
자동만보기,37,1,2,0
자전거덮개,34,2,4,0
하이웨스트비키니,10,5,24,1
EMS마사지기,32,0,8,0
고고다이노,34,2,4,0
고양이계단,28,5,7,0
무타공블라인드,32,0,6,2
저염식반찬,32,3,4,1
유아변기시트,25,6,9,0
